model,grouping,group,n_frames,n_bites,circular_rmse,circular_mae,delta_rmse,psi_dot_rmse,frame_circular_rmse,frame_circular_mae
R0_hold_psi0,overall,overall,32216,127,0.18519361579782076,0.13092469645753885,0.18197115361243793,0.41976013023295594,0.18197115361243793,0.12877974570025263
R0_hold_psi0,phase,transfer,18107,125,0.1411061088224289,0.10572833241941242,0.13875248602674395,0.2439386572242981,0.13875248602674395,0.10427372483988373
R0_hold_psi0,phase,withdrawal,14109,127,0.2238853537634103,0.15817204244083466,0.22561592345831724,0.5713761265577183,0.22561592345831724,0.16022992074587603
R0_hold_psi0,take,trial_0012,4327,15,0.12967207529588218,0.0947769793619837,0.13129982228024648,0.36087714347095373,0.13129982228024648,0.09633678169886323
R0_hold_psi0,take,trial_0013,2756,12,0.1600200834084109,0.10895812816640942,0.16360964601824637,0.39206858512785964,0.16360964601824637,0.11375034096597897
R0_hold_psi0,take,trial_0014,4670,21,0.2003466325876978,0.16280942383189853,0.1994348431854801,0.4341864889095698,0.1994348431854801,0.16148193572444897
R0_hold_psi0,take,trial_0015,5559,19,0.1888661485006226,0.14241015085888753,0.18708211793465832,0.3394860138608849,0.18708211793465832,0.14062374180404838
R0_hold_psi0,take,trial_0017,3846,15,0.16053568393035442,0.09908524188505145,0.16591941485290276,0.4048856828032522,0.16591941485290276,0.10365445536791669
R0_hold_psi0,take,trial_0019,6491,26,0.1393128588869801,0.09588273192443021,0.13868359664537352,0.4267922052223868,0.13868359664537352,0.09489595419088419
R0_hold_psi0,take,trial_0020,4567,19,0.26992593558483846,0.1996980945568988,0.2594340590285701,0.5448186450910765,0.2594340590285701,0.1900482589985114
R1_phase_only,overall,overall,32216,127,0.1416819634028006,0.11424003503812637,0.13953951686443952,0.41018930622038874,0.13953951686443952,0.11262444983649596
R1_phase_only,phase,transfer,18107,125,0.12131271667722796,0.101023875449435,0.1193758632672075,0.2857107249391735,0.1193758632672075,0.09899238575509368
R1_phase_only,phase,withdrawal,14109,127,0.15968852604722308,0.1283127193419893,0.1617755110971801,0.5289680117799986,0.1617755110971801,0.130119366862646
R1_phase_only,take,trial_0012,4327,15,0.10692259673157622,0.08775886864509869,0.1066659244850289,0.36827258137370844,0.1066659244850289,0.0874781967910743
R1_phase_only,take,trial_0013,2756,12,0.10914571734895914,0.09445960496062306,0.10834439271443196,0.37411279211348625,0.10834439271443196,0.09397012709497453
R1_phase_only,take,trial_0014,4670,21,0.14465059570791275,0.12042540319848619,0.14360564151899957,0.43195124718604594,0.1436056415189996,0.11946631976158872
R1_phase_only,take,trial_0015,5559,19,0.13828905849011955,0.11543423489330122,0.1384875151155974,0.334840835592504,0.1384875151155974,0.11531389592287401
R1_phase_only,take,trial_0017,3846,15,0.13257421757891683,0.11267012650469008,0.13431514522549015,0.39076560338239447,0.13431514522549015,0.11270102168168639
R1_phase_only,take,trial_0019,6491,26,0.12752429582180905,0.10517466093123058,0.1287138663076923,0.41630961879484857,0.1287138663076923,0.10625925247688209
R1_phase_only,take,trial_0020,4567,19,0.19811138267071213,0.15325311309025316,0.19057031546131517,0.5213078147462498,0.19057031546131517,0.14641884173565625
R2_pose_only,overall,overall,32216,127,0.11932982836914195,0.08584641318148807,0.11734810923267022,0.30090321173824836,0.11734810923267022,0.08377510928003931
R2_pose_only,phase,transfer,18107,125,0.09176145259386093,0.07163156135073097,0.08969265174887184,0.19130448775195028,0.08969265174887184,0.06949138714434894
R2_pose_only,phase,withdrawal,14109,127,0.14433308970738792,0.10203868564049981,0.14532336459754064,0.4000143389161821,0.14532336459754064,0.10210634159352328
R2_pose_only,take,trial_0012,4327,15,0.14012151979203213,0.10111315661019417,0.1373293225938342,0.36104893275777306,0.1373293225938342,0.09827124303010544
R2_pose_only,take,trial_0013,2756,12,0.08736260668086815,0.05903214231221404,0.08575110046881848,0.2841776679806774,0.08575110046881848,0.057368601803448084
R2_pose_only,take,trial_0014,4670,21,0.10100892644766836,0.07939923446163903,0.10058840344658798,0.2861024000889012,0.10058840344658798,0.07899764853261747
R2_pose_only,take,trial_0015,5559,19,0.12479141680015193,0.0852538267553366,0.12275769997865851,0.23918437959144043,0.12275769997865851,0.08350456741568993
R2_pose_only,take,trial_0017,3846,15,0.12292150855427583,0.09771696129751174,0.11931033527503483,0.23592365159667328,0.11931033527503483,0.09366366675157838
R2_pose_only,take,trial_0019,6491,26,0.10288476582259562,0.07468874101844218,0.10240021029985001,0.32096704716173546,0.10240021029985001,0.07407357406356035
R2_pose_only,take,trial_0020,4567,19,0.1469561998735738,0.10434437364007991,0.1387562165179568,0.34589973640433797,0.1387562165179568,0.09665172868839336
R3_pose_velocity,overall,overall,32216,127,0.11740000790132384,0.08459900614442525,0.11518972757635082,0.4281893400136065,0.11518972757635082,0.08241899326224902
R3_pose_velocity,phase,transfer,18107,125,0.09114574542347645,0.07105494288729959,0.0889721726399422,0.297976676469806,0.0889721726399422,0.06871935607652702
R3_pose_velocity,phase,withdrawal,14109,127,0.1415994849323722,0.1003339176374181,0.14190858752500604,0.5523691746671152,0.14190858752500604,0.10000063126082213
R3_pose_velocity,take,trial_0012,4327,15,0.13773996619795636,0.10104204610405813,0.1345568223789185,0.4575789497063631,0.1345568223789185,0.09783743703121127
R3_pose_velocity,take,trial_0013,2756,12,0.08659217551437817,0.0605585627580878,0.08491826964716272,0.4229739117252159,0.08491826964716272,0.05874992314578012
R3_pose_velocity,take,trial_0014,4670,21,0.10166901512819247,0.0777020933805033,0.10142819723868518,0.4017458087760006,0.10142819723868518,0.07750770706588778
R3_pose_velocity,take,trial_0015,5559,19,0.11967429904131037,0.08214379871832898,0.1176386036101288,0.2786043182139432,0.1176386036101288,0.08006324820608816
R3_pose_velocity,take,trial_0017,3846,15,0.12448119410128165,0.09789099194262467,0.12046478553346421,0.3436372855706954,0.12046478553346421,0.09345431134481837
