parent_bite_id,phase,psi_range,delta_psi_range,rms_change_from_psi0,max_abs_change_from_psi0,total_abs_psi_travel,n_frames
trial_0012_bite_001,transfer,0.13790146685956728,0.13790146685956728,0.09475204653478594,0.13790146685956728,0.24432276604568415,144
trial_0012_bite_001,withdrawal,0.244152974397168,0.244152974397168,0.16471618970637825,0.244152974397168,0.3628505909454982,102
trial_0012_bite_002,transfer,0.15478630221911693,0.15478630221911693,0.11450806443634587,0.15371553751853506,0.30262277654002734,188
trial_0012_bite_002,withdrawal,0.09907616879545245,0.09907616879545245,0.03743792310084331,0.0814029246556145,0.2563400379116758,113
trial_0012_bite_003,transfer,0.05697777940970106,0.05697777940970106,0.03284181134359787,0.05466135595019539,0.2117704720183422,146
trial_0012_bite_003,withdrawal,0.045217054934092005,0.045217054934092005,0.03268338600592393,0.045217054934092005,0.13337673050905963,99
trial_0012_bite_004,transfer,0.15090705104449453,0.15090705104449453,0.11228405319588652,0.15090705104449453,0.305191080329998,147
trial_0012_bite_004,withdrawal,0.23994388354627683,0.23994388354627683,0.11562602898043688,0.20470450201416313,0.3634143166995356,140
trial_0012_bite_005,transfer,0.058035205364255216,0.058035205364255216,0.021273659735653115,0.03976796789138737,0.18289757462424472,122
trial_0012_bite_005,withdrawal,0.33969385486102244,0.33969385486102244,0.16700798499075925,0.3186951856066087,0.3991138009289208,137
trial_0012_bite_006,transfer,0.23890752391020653,0.23890752391020653,0.16605517182393426,0.23890752391020653,0.39132030659831596,157
trial_0012_bite_006,withdrawal,0.2614097846492034,0.2614097846492034,0.15285270561040384,0.25342904848018444,0.29620223826142,131
trial_0012_bite_007,transfer,0.09194091705914431,0.09194091705914431,0.03260999063445074,0.0806905401401612,0.26771582041183306,133
trial_0012_bite_007,withdrawal,0.2768897107524251,0.2768897107524251,0.12612079465504653,0.270502265919804,0.5734413336133892,140
trial_0012_bite_008,transfer,0.1246535808725957,0.1246535808725957,0.09264433986410772,0.1246535808725957,0.2993674397875381,168
trial_0012_bite_008,withdrawal,0.15144913058357456,0.15144913058357456,0.07109384945772473,0.11663529602419542,0.24338454245621355,98
trial_0012_bite_009,transfer,0.0873278507751083,0.0873278507751083,0.047200521660548896,0.08410692790482832,0.3264026293789959,230
trial_0012_bite_009,withdrawal,0.5128620742029137,0.5128620742029137,0.15029679943808943,0.2930716813100074,0.8599832911007752,138
trial_0012_bite_010,transfer,0.09124070752899938,0.09124070752899938,0.04879705560219626,0.09090722783931993,0.25768497234093424,152
trial_0012_bite_010,withdrawal,0.2953827014954755,0.2953827014954755,0.11541736336718252,0.23585727091490583,0.5996835414977135,99
trial_0012_bite_011,transfer,0.15533742524288652,0.15533742524288652,0.10531343727834369,0.1507526013815137,0.3270762399392093,205
trial_0012_bite_011,withdrawal,0.30612661561918975,0.30612661561918975,0.23622087693168642,0.2998929616342765,0.5184956861834373,175
trial_0012_bite_012,transfer,0.13225269178776822,0.13225269178776822,0.05858042807188908,0.12492800997175202,0.28590720230436606,180
trial_0012_bite_012,withdrawal,0.30258891701436896,0.30258891701436896,0.10539897421099577,0.22753642859911416,0.5616905813836115,97
trial_0012_bite_013,transfer,0.12303965161403996,0.12303965161403996,0.0733920957321813,0.12303965161403996,0.33142399513659804,204
