grouping,group,condition,offset_rad,strategy,support_bites,source_runs,initial_success_runs,initial_state_success_percent,source_frames,success_frames,trajectory_frame_success_percent,complete_success_runs,complete_run_success_percent,JOINT_LIMIT,NO_VALID_BRANCH,other_failure_frames,violations,continuous_frame_percent,branch_changes,travel,rms_velocity,rms_acceleration,rms_jerk,min_margin,min_jp_sigma,min_jr_sigma
overall,overall,psi0_minus_025,-0.25,HumanGT,127,288,283,98.26388888888889,32216,30689,95.26011919543085,261,90.625,7,872,0,21,99.93157157287628,20,5.082663722598748,0.9841777130734104,35.35411922368734,4947.01266047991,0.49230537436377886,0.2367744377798182,1.2482550690364254
overall,overall,psi0_minus_025,-0.25,B0,127,288,283,98.26388888888889,32216,30654,95.1514775266948,254,88.19444444444444,56,858,0,76,99.7520715077967,77,5.251476881606638,1.001475605479995,31.56736185799385,4267.217064843006,0.444224494651803,0.23570835033473497,1.2396534065882951
overall,overall,psi0_minus_025,-0.25,B2,127,288,283,98.26388888888889,32216,30695,95.27874348149987,262,90.97222222222223,3,870,0,40,99.86968561654993,42,5.024753425066244,0.9920565696175271,34.377967647068616,4543.05950615259,0.47960538020713334,0.2360106799036794,1.2540664508211992
overall,overall,psi0_minus_025,-0.25,B3,127,288,283,98.26388888888889,32216,30694,95.27563943382171,262,90.97222222222223,4,870,0,35,99.88597119958298,48,5.268617664201157,1.0241319728920772,44.01535842111859,6398.433045825002,0.4750103213697809,0.23591912663749007,1.2526294810037923
overall,overall,psi0_minus_025,-0.25,StrongLocal,127,288,283,98.26388888888889,32216,30704,95.30667991060342,261,90.625,4,860,0,56,99.8176133402814,61,5.249028107703437,1.0344954951926812,45.510111469990385,6671.701133394599,0.479679327657475,0.23621625443029773,1.2498744265988697
overall,overall,psi0_minus_025,-0.25,H_star,127,288,283,98.26388888888889,32216,30703,95.30357586292526,262,90.97222222222223,4,861,0,57,99.81435038921278,67,5.371958421298811,1.0446813662594936,53.80988962042893,8341.10764747596,0.4798011484577315,0.23625098079914342,1.250871404718228
overall,overall,psi0_minus_025,-0.25,RobotSmooth,127,288,283,98.26388888888889,32216,30729,95.38428110255774,264,91.66666666666667,0,5,0,1,99.99674574506167,25,5.452526619902134,1.04708922990057,51.912891851422145,8067.818974331854,0.4593404689168764,0.23686942384768575,1.2379521363929018
overall,overall,psi0_nominal,0.0,HumanGT,127,288,283,98.26388888888889,32216,30531,94.76967966227961,256,88.88888888888889,105,932,0,15,99.95086960793947,14,4.802443288488455,0.9493233010479678,35.06904708354681,4580.575872782721,0.39810889309773706,0.2265233039505077,1.3139435547239697
overall,overall,psi0_nominal,0.0,B0,127,288,283,98.26388888888889,32216,30412,94.40029798857711,255,88.54166666666667,261,895,0,26,99.91450743127713,30,4.970185367951569,0.9745781387474288,31.874007539745563,4200.473011247866,0.3543700174686467,0.22647726101788637,1.3012175833900954
overall,overall,psi0_nominal,0.0,B2,127,288,283,98.26388888888889,32216,30597,94.97454680903898,260,90.27777777777777,41,930,0,18,99.9411707030101,16,4.784198798602082,0.9419724664332936,32.20049309577122,4187.2275199379765,0.38365944340384855,0.22600394777005178,1.314796097117509
overall,overall,psi0_nominal,0.0,B3,127,288,283,98.26388888888889,32216,30598,94.97765085671716,260,90.27777777777777,41,929,0,19,99.93790443819857,19,4.9918591780143515,0.9709678321908761,40.96585518671501,5863.29988526458,0.3772263908925202,0.22593451281220522,1.313929732715032
overall,overall,psi0_nominal,0.0,StrongLocal,127,288,283,98.26388888888889,32216,30602,94.99006704742985,259,89.93055555555556,42,924,0,21,99.93137703418077,21,4.969931228677837,0.9570886502270308,40.29998364666685,5964.218260478182,0.38430391253965207,0.2264241066752862,1.3121833928302113
overall,overall,psi0_nominal,0.0,H_star,127,288,283,98.26388888888889,32216,30597,94.97454680903898,259,89.93055555555556,43,928,0,17,99.94443899728732,18,5.0808008925938895,0.9737271303435773,48.84455088937773,7566.618855320873,0.3835894166130435,0.2263294366085945,1.3125449318805662
overall,overall,psi0_nominal,0.0,RobotSmooth,127,288,283,98.26388888888889,32216,30729,95.38428110255774,264,91.66666666666667,0,5,0,3,99.990237235185,3,5.025624580374311,0.9425859382731533,41.17814697204178,6171.727922873294,0.36520453636908445,0.22726249624382475,1.301271933212025
overall,overall,psi0_plus_025,0.25,HumanGT,127,288,283,98.26388888888889,32216,30230,93.83536131114974,249,86.45833333333333,343,995,0,23,99.92391663910023,24,4.581976209875999,0.9066371808037128,30.77697899155468,4226.480573588518,0.2830599407817403,0.21608246056152763,1.3413947309445098
overall,overall,psi0_plus_025,0.25,B0,127,288,283,98.26388888888889,32216,30195,93.72671964241371,246,85.41666666666667,419,954,0,42,99.8609041231992,52,4.806077737155569,0.974796251822466,30.73289768060698,3968.2149172526083,0.2477029253097818,0.21662976209271875,1.3325791383850178
overall,overall,psi0_plus_025,0.25,B2,127,288,283,98.26388888888889,32216,30410,94.39408989322077,251,87.15277777777777,160,998,0,19,99.93752055244985,21,4.614674976778295,0.9353238941961491,31.76829293263911,4034.8657594434644,0.26939916776842954,0.21584377487777698,1.3409345581393746
overall,overall,psi0_plus_025,0.25,B3,127,288,283,98.26388888888889,32216,30377,94.29165631984107,250,86.80555555555556,196,995,0,24,99.92099285643744,26,4.788333980607977,0.9555799577963868,39.48840747776446,5563.896421195406,0.26279343554094886,0.2157441682527059,1.3408114410615992
overall,overall,psi0_plus_025,0.25,StrongLocal,127,288,283,98.26388888888889,32216,30416,94.4127141792898,252,87.5,156,996,0,19,99.93753287743293,20,4.764744631601803,0.9499128118132129,38.609754928855395,5516.6415495991905,0.26961039252773367,0.21611573391450764,1.3397238920549923
overall,overall,psi0_plus_025,0.25,H_star,127,288,283,98.26388888888889,32216,30361,94.24199155699031,250,86.80555555555556,210,997,0,24,99.92095122031553,25,4.85488577568899,0.9545251270778345,45.94060139139349,7063.123652744686,0.26946713337141553,0.21612058211448432,1.3402758635568432
overall,overall,psi0_plus_025,0.25,RobotSmooth,127,288,283,98.26388888888889,32216,30729,95.38428110255774,264,91.66666666666667,0,5,0,2,99.99349149012333,5,4.909499853405448,0.9262142263691031,45.4958632804888,6880.040006356568,0.2573686260083832,0.21711317593020368,1.3323430156846323
phase,transfer,psi0_minus_025,-0.25,HumanGT,127,135,135,100.0,18107,17240,95.21179654277351,115,85.18518518518519,0,867,0,8,99.95359628770302,5,3.92782798588992,0.6519709080678298,32.40844679187513,4654.641359050186,0.5550199570664573,0.2365687500324134,1.2673439776443627
phase,transfer,psi0_minus_025,-0.25,B0,127,135,135,100.0,18107,17254,95.28911470701938,112,82.96296296296296,0,853,0,66,99.6174800046366,67,4.168501221059601,0.6674593462963063,28.642876051433515,3902.3887809516773,0.5680591301987028,0.23967576293937484,1.2387407134689865
phase,transfer,psi0_minus_025,-0.25,B2,127,135,135,100.0,18107,17242,95.22284199480863,115,85.18518518518519,0,865,0,12,99.9304025055098,12,3.8809971999468966,0.6595261646190483,31.557866142404883,4224.267894637464,0.5583406829483948,0.23633692489266672,1.2712125826844276
phase,transfer,psi0_minus_025,-0.25,B3,127,135,135,100.0,18107,17242,95.22284199480863,115,85.18518518518519,0,865,0,9,99.94780187913236,10,4.091227500767254,0.6836253233128913,39.76454522738349,5779.71794963748,0.5551936398403325,0.23658070779210555,1.270948252121477
phase,transfer,psi0_minus_025,-0.25,StrongLocal,127,135,135,100.0,18107,17253,95.28359198100182,115,85.18518518518519,0,854,0,14,99.91885469193764,16,4.108527077171332,0.69438941983438,41.420563274217464,6090.015162242683,0.5585374222735962,0.23686689162218225,1.2665275569386254
phase,transfer,psi0_minus_025,-0.25,H_star,127,135,135,100.0,18107,17251,95.2725465289667,115,85.18518518518519,0,856,0,15,99.91304851892644,18,4.245411954593438,0.7168308355288737,50.32436513212154,7855.155738931406,0.5575471733872064,0.23693758403425672,1.2658023079046063
phase,transfer,psi0_minus_025,-0.25,RobotSmooth,127,135,135,100.0,18107,17273,95.39404650135307,116,85.92592592592592,0,0,0,1,99.99421061772709,2,4.280423509318959,0.6787590329789064,44.56244265478306,7234.5842407056225,0.5704080796032266,0.23992291302871754,1.2414522355851652
phase,transfer,psi0_nominal,0.0,HumanGT,127,135,135,100.0,18107,17180,94.88043298171978,115,85.18518518518519,0,927,0,13,99.92433061699651,12,3.8689004190552763,0.6871813152582887,33.529110282910466,4364.364967198315,0.448670420110895,0.22527360165447802,1.3302972841470304
