row_scope,record_id,parent_bite_id,take,phase,condition,offset_rad,strategy,source_runs,initial_success_runs,source_frames,success_frames,complete_success_runs,JOINT_LIMIT,NO_VALID_BRANCH,other_failure_frames,violations,branch_changes,travel,rms_velocity,rms_acceleration,rms_jerk,min_margin,min_jp_sigma,min_jr_sigma,clean_frames,clean_intervals,travel_edges,velocity_frames,acceleration_frames,jerk_frames,comparison,strategy_a,strategy_b,pair_common_success_frames,pair_clean_frames,pair_clean_intervals,triple_common_success_frames,a_violations,b_violations,a_travel,b_travel,difference_travel_a_minus_b,a_rms_velocity,b_rms_velocity,difference_rms_velocity_a_minus_b,a_rms_acceleration,b_rms_acceleration,difference_rms_acceleration_a_minus_b,a_rms_jerk,b_rms_jerk,difference_rms_jerk_a_minus_b,a_min_margin,b_min_margin,difference_min_margin_a_minus_b,a_min_jp_sigma,b_min_jp_sigma,difference_min_jp_sigma_a_minus_b,a_min_jr_sigma,b_min_jr_sigma,difference_min_jr_sigma_a_minus_b,a_psi_mae_to_humangt,b_psi_mae_to_humangt,difference_psi_mae_a_minus_b,a_elbow_mean_to_humangt,b_elbow_mean_to_humangt,difference_elbow_mean_a_minus_b,difference_violations_a_minus_b
single_strategy,trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,psi0_minus_025,-0.25,HumanGT,1.0,1.0,144.0,144.0,1.0,0.0,0.0,0.0,0.0,0.0,4.357827714224701,0.5288780545221367,37.627248198925344,6679.732384847046,0.23185740398096666,0.17848420045503896,1.1466747979976675,144.0,143.0,143.0,143.0,142.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single_strategy,trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,psi0_minus_025,-0.25,B0,1.0,1.0,144.0,144.0,1.0,0.0,0.0,0.0,0.0,0.0,4.466905377602649,0.5395344296687036,28.937058318165334,5073.873411622555,0.2415618804450892,0.1835932359065357,1.1076112538208533,144.0,143.0,143.0,143.0,142.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single_strategy,trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,psi0_minus_025,-0.25,B2,1.0,1.0,144.0,144.0,1.0,0.0,0.0,0.0,0.0,0.0,4.041528908038549,0.49809427257713107,28.83409654950762,5018.584452581147,0.22035271524921551,0.17359708901788384,1.1818367021177025,144.0,143.0,143.0,143.0,142.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single_strategy,trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,psi0_minus_025,-0.25,B3,1.0,1.0,144.0,144.0,1.0,0.0,0.0,0.0,0.0,0.0,4.393224996617134,0.5414097275295429,45.911412285733135,8157.294144292293,0.21945820781627923,0.17324605725495412,1.1843209814721396,144.0,143.0,143.0,143.0,142.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single_strategy,trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,psi0_minus_025,-0.25,StrongLocal,1.0,1.0,144.0,144.0,1.0,0.0,0.0,0.0,0.0,0.0,4.548866477985698,0.5584814807371434,53.38718629556326,9590.005285687688,0.21933677809581198,0.17319867516288287,1.1842440937784446,144.0,143.0,143.0,143.0,142.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single_strategy,trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,psi0_minus_025,-0.25,H_star,1.0,1.0,144.0,144.0,1.0,0.0,0.0,0.0,0.0,0.0,5.015627403769308,0.6280954235420335,73.8964467652355,13436.074915318935,0.21585570905555862,0.17186671968554912,1.1937243007024196,144.0,143.0,143.0,143.0,142.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single_strategy,trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,psi0_minus_025,-0.25,RobotSmooth,1.0,1.0,144.0,144.0,1.0,0.0,0.0,0.0,0.0,0.0,4.466905387514924,0.5395344300045413,28.93705862640325,5073.873482554305,0.2415618804451034,0.1835932358969399,1.107611253856173,144.0,143.0,143.0,143.0,142.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single_strategy,trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,psi0_nominal,0.0,HumanGT,1.0,1.0,144.0,144.0,1.0,0.0,0.0,0.0,0.0,0.0,4.478384649884788,0.54488742150103,38.80348942185681,6777.591469039086,0.1947813676097283,0.1647331652770446,1.2447055995543705,144.0,143.0,143.0,143.0,142.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single_strategy,trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,psi0_nominal,0.0,B0,1.0,1.0,144.0,144.0,1.0,0.0,0.0,0.0,0.0,0.0,4.4277175468865,0.5339214190155092,29.038754066576143,5039.6350993837095,0.21589708384199469,0.17188226087106864,1.1939475699797835,144.0,143.0,143.0,143.0,142.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single_strategy,trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,psi0_nominal,0.0,B2,1.0,1.0,144.0,144.0,1.0,0.0,0.0,0.0,0.0,0.0,4.335165119693155,0.5327424880734015,31.136367510071167,5290.298305012048,0.17570505120244562,0.1594418306909713,1.2778022004663265,144.0,143.0,143.0,143.0,142.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
