comparison,condition,phase,metric,difference_a_minus_b,ci_low,ci_high,support_bites,status
HumanGT-RobotSmooth,psi0_plus_025,withdrawal,psi_mae,-0.14157741489351655,-0.15394186882988398,-0.1292874481063245,122,OK
HumanGT-RobotSmooth,psi0_plus_025,withdrawal,elbow_mean,-0.04160968041497613,-0.045315196361296946,-0.03800687453153888,122,OK
HumanGT-RobotSmooth,psi0_plus_025,withdrawal,travel,-0.19951097715388896,-0.2728150988780333,-0.12730303544627258,127,OK
HumanGT-RobotSmooth,psi0_plus_025,withdrawal,rms_velocity,-0.053033772228555376,-0.0696835537703076,-0.03473825795767559,122,OK
HumanGT-RobotSmooth,psi0_plus_025,withdrawal,min_margin,0.07108080358576147,0.0495589891538755,0.09247855903241368,122,OK
HumanGT-RobotSmooth,psi0_plus_025,withdrawal,violations,0.11023622047244094,0.03937007874015748,0.1968503937007874,127,OK
StrongLocal-B2,psi0_minus_025,overall,psi_mae,0.0008635161047118791,-0.0014979428787157004,0.003274184276876918,127,OK
StrongLocal-B2,psi0_minus_025,overall,elbow_mean,-1.670618626718297e-05,-0.0006515124696284761,0.0006168712552901487,127,OK
StrongLocal-B2,psi0_minus_025,overall,travel,0.223730431267208,0.19495094440961538,0.25348166346631207,127,OK
StrongLocal-B2,psi0_minus_025,overall,rms_velocity,0.036783701831551774,0.0224857076661237,0.053353438160944115,127,OK
StrongLocal-B2,psi0_minus_025,overall,min_margin,6.137875902228373e-05,-0.001304107175968818,0.001488558154286337,127,OK
StrongLocal-B2,psi0_minus_025,overall,violations,0.06299212598425197,-0.007874015748031496,0.14173228346456693,127,OK
StrongLocal-B2,psi0_minus_025,transfer,psi_mae,0.003675959859567464,0.0009898673924225467,0.006497300873172802,125,OK
StrongLocal-B2,psi0_minus_025,transfer,elbow_mean,0.000567543162040921,-5.7138877906910296e-05,0.0012087057744560143,125,OK
StrongLocal-B2,psi0_minus_025,transfer,travel,0.2104397839676519,0.1760809658590615,0.24487929822887827,127,OK
