scope,grouping,group,strategy_a,strategy_b,reported_strategy,support_frames,support_runs,joint_step_support_values,total_wrapped_joint_travel_rad,max_wrapped_joint_step_rad,velocity_support_values,rms_joint_velocity_rad_s,max_joint_velocity_rad_s,acceleration_support_values,rms_joint_acceleration_rad_s2,max_joint_acceleration_rad_s2,jerk_support_values,rms_joint_jerk_rad_s3,max_joint_jerk_rad_s3,branch_changes,joint_limit_margin_support_frames,joint_limit_margin_rad_count,joint_limit_margin_rad_mean,joint_limit_margin_rad_median,joint_limit_margin_rad_p05,joint_limit_margin_rad_p95,joint_limit_margin_rad_min,joint_limit_margin_rad_max
pairwise_common_success,overall,overall,B0,B1,B0,30928,293,214445,1499.1764408220702,3.129919314235,214445,4.837038421607389,312.9919314234997,212457,635.4273451335656,47160.427456794634,210476,107170.40640480648,7074052.606725636,32,30928,30928,0.6069921414042934,0.6462229120331014,0.17374910278626512,0.9126361250984911,1.0969169156105352e-05,1.0929380256907408
pairwise_common_success,overall,overall,B0,B1,B1,30928,293,214445,1490.060834825176,3.14146119538727,214445,4.689706785918465,314.14611953872674,212457,620.7782799523783,62752.15702984996,210476,104104.97874576713,9412709.262782494,20,30928,30928,0.6284676372362827,0.6719410537778941,0.19699390378338946,0.9335032513233161,0.003177934588071807,1.1160904325020313
pairwise_common_success,overall,overall,B0,B2,B0,30891,293,214186,1463.7676957686692,3.129919314235,214186,4.626700972660045,312.9919314234997,212198,615.0941645212964,47160.427456794634,210217,105268.68012627648,7074052.606725636,24,30891,30891,0.6074508091645431,0.6465961937079507,0.17448854659117163,0.9126691911453413,1.0969169156105352e-05,1.0929380256907408
pairwise_common_success,overall,overall,B0,B2,B2,30891,293,214186,1366.1291898363825,3.1313232125422106,214186,3.414238963943464,313.13232125422076,212198,422.5671845685142,31490.221511224838,210217,65227.310434780265,6293600.479099562,21,30891,30891,0.6029926459205597,0.6346828489000309,0.24177865643143637,0.8837134386535059,0.0011552091871527281,1.046267990964198
pairwise_common_success,overall,overall,B0,B3,B0,30893,293,214200,1464.3204541245777,3.129919314235,214200,4.626932870991797,312.9919314234997,212212,615.0882369254309,47160.427456794634,210231,105266.43368978634,7074052.606725636,24,30893,30893,0.6074189463457564,0.6465865618683235,0.17438073723260442,0.9126662294529163,1.0969169156105352e-05,1.0929380256907408
pairwise_common_success,overall,overall,B0,B3,B3,30893,293,214200,1455.968186749692,3.1390125550507126,214200,4.0921606823953605,313.901255505071,212212,555.3920436886765,62730.739093758755,210231,91120.69612873008,9415338.61649333,29,30893,30893,0.6001854244192381,0.6317780292915245,0.2344846997460427,0.8799320560238678,0.0012046332676467486,1.0443771465693326
pairwise_common_success,overall,overall,B0,StrongLocal,B0,30898,294,214228,1469.9676143502334,3.129919314235,214228,4.671143546030738,312.9919314234997,212233,619.0601615842301,47160.427456794634,210245,105619.5709594614,7074052.606725636,25,30898,30898,0.6073794987984935,0.6465199221747301,0.1744521013775663,0.9126588252218539,1.0969169156105352e-05,1.0929380256907408
pairwise_common_success,overall,overall,B0,StrongLocal,StrongLocal,30898,294,214228,1455.7867684709781,3.138916123306218,214228,4.140376733690954,313.8916123306215,212233,543.9631404964832,61488.08209189291,210245,88148.83795976346,9236322.361698605,28,30898,30898,0.6068751359824877,0.6417916720912717,0.2384957099515393,0.8864472367976796,0.0010663462958309111,1.0441464773029638
pairwise_common_success,overall,overall,B0,H_star,B0,30894,294,214200,1468.1907857707456,3.129919314235,214200,4.670209922838033,312.9919314234997,212205,619.0684327921748,47160.427456794634,210217,105624.01540235283,7074052.606725636,25,30894,30894,0.6074153055649342,0.6465774170911205,0.17444358261497958,0.9126647486067038,1.0969169156105352e-05,1.0929380256907408
pairwise_common_success,overall,overall,B0,H_star,H_star,30894,294,214200,1454.5056371316841,3.140756721842512,214200,3.704425997203607,314.07567218425095,212205,468.1939601205373,31530.431793876505,210217,73495.02554386208,6291959.051051004,25,30894,30894,0.6045011364947356,0.6352153917158858,0.23831755206126393,0.8887746652205698,0.0004203168319323325,1.0392683075140834
pairwise_common_success,overall,overall,B0,HumanGT,B0,30889,294,214165,1467.55914748655,3.129919314235,214165,4.670747069959362,312.9919314234997,212177,617.5398760621734,47160.427456794634,210196,105181.38593556026,7074052.606725636,24,30889,30889,0.6074349576482966,0.6466004952768909,0.17436315753062023,0.9126721528377661,1.0969169156105352e-05,1.0929380256907408
pairwise_common_success,overall,overall,B0,HumanGT,HumanGT,30889,294,214165,1341.3321448589963,3.1178211268421117,214165,2.7562514205323354,311.7821126842109,212177,325.0793114304889,30961.772327267212,210196,48445.034945392326,6190247.9558288185,16,30889,30889,0.6138167810403045,0.6473678197151183,0.2545697829915882,0.8958558458436217,0.005228083920412185,1.074710124975569
pairwise_common_success,overall,overall,B1,B2,B1,30939,293,214522,1502.8719885603928,3.14146119538727,214522,4.907379042925055,314.14611953872674,212534,637.6941040799614,62752.15702984996,210546,105104.23464440285,9412709.262782494,21,30939,30939,0.627975345602474,0.6718316366339501,0.19381634087465,0.9335031741932382,0.00018105748675534272,1.1160904325020313
pairwise_common_success,overall,overall,B1,B2,B2,30939,293,214522,1368.982277884804,3.1313232125422106,214522,3.411892090886865,313.13232125422076,212534,422.2365584485535,31490.221511224838,210546,65176.649619419324,6293600.479099562,21,30939,30939,0.6024083724467943,0.6343872611360499,0.24087466075251757,0.883613292297838,0.0011552091871527281,1.046267990964198
pairwise_common_success,overall,overall,B1,B3,B1,30941,293,214536,1503.1745592165043,3.14146119538727,214536,4.907280191570745,314.14611953872674,212548,637.6749717324774,62752.15702984996,210560,105100.98294225702,9412709.262782494,21,30941,30941,0.6279417818704087,0.6718164384883094,0.19375521658999162,0.9335031601695878,0.00018105748675534272,1.1160904325020313
pairwise_common_success,overall,overall,B1,B3,B3,30941,293,214536,1459.2110451853664,3.1390125550507126,214536,4.089287824214713,313.901255505071,212548,554.95579596652,62730.739093758755,210560,91049.73240200312,9415338.61649333,29,30941,30941,0.5995902016677398,0.631379710866776,0.23211681361892555,0.8799020164259597,0.0012046332676467486,1.0443771465693326
pairwise_common_success,overall,overall,B1,StrongLocal,B1,30946,294,214564,1503.9531523931225,3.14146119538727,214564,4.90719220041472,314.14611953872674,212569,637.648171507382,62752.15702984996,210574,105098.02925126738,9412709.262782494,22,30946,30946,0.6279038906052861,0.6717993959128754,0.19378535066944885,0.93349247294594,0.00018105748675534272,1.1160904325020313
pairwise_common_success,overall,overall,B1,StrongLocal,StrongLocal,30946,294,214564,1459.176827225213,3.138916123306218,214564,4.137495385614734,313.8916123306215,212569,543.5370658728259,61488.08209189291,210574,88080.38076605629,9236322.361698605,28,30946,30946,0.6063175785062909,0.6414097388735542,0.23717860035527327,0.886355297103156,0.0010663462958309111,1.0441464773029638
pairwise_common_success,overall,overall,B1,H_star,B1,30942,294,214536,1503.010602572052,3.14146119538727,214536,4.9072024624164206,314.14611953872674,212541,637.6838255947936,62752.15702984996,210546,105104.57956294436,9412709.262782494,22,30942,30942,0.6279387158634078,0.6718095072463908,0.19377581522169468,0.9335010227248581,0.00018105748675534272,1.1160904325020313
pairwise_common_success,overall,overall,B1,H_star,H_star,30942,294,214536,1457.847939273052,3.140756721842512,214536,3.701899061305819,314.07567218425095,212541,467.8285884707631,31530.431793876505,210546,73438.14232772475,6291959.051051004,25,30942,30942,0.6038939865810118,0.6348128528399216,0.23632511205538964,0.8886381227662524,0.0004203168319323325,1.0392683075140834
