record_id,parent_bite_id,take,phase,run_id,strategy,source_frames,SUCCESS_EXACT,success_percent,first_psi0_rad,first_raw_prediction_correction_abs_rad,first_target_position_equal,first_target_rotation_equal,first_target_psi_equal,first_status_equal,support_frames,support_runs,joint_step_support_values,total_wrapped_joint_travel_rad,max_wrapped_joint_step_rad,velocity_support_values,rms_joint_velocity_rad_s,max_joint_velocity_rad_s,acceleration_support_values,rms_joint_acceleration_rad_s2,max_joint_acceleration_rad_s2,jerk_support_values,rms_joint_jerk_rad_s3,max_joint_jerk_rad_s3,branch_changes,joint_limit_margin_support_frames,joint_limit_margin_rad_count,joint_limit_margin_rad_mean,joint_limit_margin_rad_median,joint_limit_margin_rad_p05,joint_limit_margin_rad_p95,joint_limit_margin_rad_min,joint_limit_margin_rad_max
trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,0,B0,144,144,100.0,-2.894375877838511,0.0,True,True,True,True,144,1,1001,4.4277175468865,0.01674333153620111,1001,0.5339214190155092,1.6743331536201096,994,29.038754066576143,153.07101295842313,987,5039.6350993837095,18419.411784118052,0,144,144,0.48416872681349044,0.49445144474137803,0.22767506742083876,0.7082436074365925,0.21589708384199469,0.7266212204522133
trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,0,B1,144,144,100.0,-2.894375877838511,0.16003046774406515,True,True,True,True,144,1,1001,4.627980712723756,0.01754120777553636,1001,0.5533405980611806,1.7541207775536363,994,28.499008396915436,151.93730514091425,987,4978.244078189538,18356.372314206346,0,144,144,0.49981830674816774,0.5058928376692834,0.24354595779597718,0.7299858155129729,0.23201108825498018,0.7489006098708888
trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,0,B2,144,144,100.0,-2.894375877838511,0.004163975852544244,True,True,True,True,144,1,1001,4.335165119693155,0.023468730232360624,1001,0.5327424880734015,2.34687302323606,994,31.136367510071167,257.0858414459205,987,5290.298305012048,29510.640672711397,0,144,144,0.4415464005731526,0.4723207503563214,0.1877508737779549,0.6507476620138986,0.17570505120244562,0.6699096036173602
trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,0,B3,144,144,100.0,-2.894375877838511,0.006047781353157422,True,True,True,True,144,1,1001,4.600110954469239,0.026491451542193015,1001,0.5724836145801335,2.649145154219299,994,46.80904243015878,318.46948308075827,987,8204.272494200102,36498.110382122824,0,144,144,0.434155200917084,0.45974010986285585,0.18711713069628177,0.6422902504267983,0.17434302824884007,0.6606157112874778
trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,0,StrongLocal,144,144,100.0,-2.894375877838511,0.06329862038965439,True,True,True,True,144,1,1001,4.6828026591384955,0.024293191372978914,1001,0.5797475577663717,2.429319137297889,994,51.95081986519854,267.4857384120872,987,9216.843613777375,42164.72205410448,0,144,144,0.4302745666099334,0.45730972509052104,0.18656762009943956,0.633940121883081,0.17415915291755546,0.6521424612152609
trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,0,H_star,144,144,100.0,-2.894375877838511,0.05683479384340595,True,True,True,True,144,1,1001,5.087977000980162,0.03148512152201821,1001,0.6482415475331263,3.1485121522018185,994,71.79777357756198,366.5394228028644,987,12929.18945410631,58239.72216375835,0,144,144,0.4247817319485631,0.46560906302966054,0.18069052852529016,0.6218760173869935,0.1689841186895773,0.6456997663929362
trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,0,HumanGT,144,144,100.0,-2.894375877838511,0.0,True,True,True,True,144,1,1001,4.478384649884788,0.021359715198064677,1001,0.54488742150103,2.135971519806466,994,38.80348942185681,248.81406893900458,987,6777.591469039086,32288.32954334129,0,144,144,0.45987239001933056,0.4789623954707799,0.20551701813649875,0.6741045166227242,0.1947813676097283,0.6932539402425677
trial_0012_bite_001_withdrawal,trial_0012_bite_001,trial_0012,withdrawal,0,B0,102,102,100.0,-2.8138901376555507,0.0,True,True,True,True,102,1,707,5.704500618009451,0.025214909536032337,707,0.9990395019720731,2.5214909536032315,700,25.459222862788696,148.61788000164884,693,3731.356980050901,22007.092677904733,0,102,102,0.5620249348224665,0.5330967784218736,0.3498475412711694,0.8519610171328563,0.3259060518722805,0.8871316571335051
trial_0012_bite_001_withdrawal,trial_0012_bite_001,trial_0012,withdrawal,0,B1,102,102,100.0,-2.8138901376555507,0.07840629547068945,True,True,True,True,102,1,707,5.6193842739972215,0.025232196482261493,707,0.9850627934721781,2.523219648226147,700,25.840534800520413,149.90229532367815,693,3790.6924499180864,22279.159472947398,0,102,102,0.6067934031286337,0.5843427114704083,0.35751571731940607,0.8903950994111699,0.3259060518722805,0.9275940917806382
trial_0012_bite_001_withdrawal,trial_0012_bite_001,trial_0012,withdrawal,0,B2,102,102,100.0,-2.8138901376555507,0.004163975852544244,True,True,True,True,102,1,707,5.492951742887401,0.025245133349815596,707,0.9642556588975495,2.5245133349815574,700,25.853366010424107,144.61679465921557,693,3794.847804559056,21229.060059705982,0,102,102,0.6392854250083181,0.6315924974340246,0.35654133568418883,0.9071041577410737,0.3259060518722805,0.946258669551618
