scope,grouping,group,strategy,total_source_frames,source_frames,attempted_frames,valid_runs,SUCCESS_EXACT,JOINT_LIMIT,NO_VALID_BRANCH,other_failures,success_percent,status_counts_json,abs_psi_difference_from_HumanGT_rad_count,abs_psi_difference_from_HumanGT_rad_mean,abs_psi_difference_from_HumanGT_rad_median,abs_psi_difference_from_HumanGT_rad_p05,abs_psi_difference_from_HumanGT_rad_p95,abs_psi_difference_from_HumanGT_rad_min,abs_psi_difference_from_HumanGT_rad_max,aligned_pinch_position_error_m_count,aligned_pinch_position_error_m_mean,aligned_pinch_position_error_m_median,aligned_pinch_position_error_m_p05,aligned_pinch_position_error_m_p95,aligned_pinch_position_error_m_min,aligned_pinch_position_error_m_max,aligned_pinch_orientation_error_rad_count,aligned_pinch_orientation_error_rad_mean,aligned_pinch_orientation_error_rad_median,aligned_pinch_orientation_error_rad_p05,aligned_pinch_orientation_error_rad_p95,aligned_pinch_orientation_error_rad_min,aligned_pinch_orientation_error_rad_max,psi_error_rad_count,psi_error_rad_mean,psi_error_rad_median,psi_error_rad_p05,psi_error_rad_p95,psi_error_rad_min,psi_error_rad_max,virtual_utensil_position_error_m_count,virtual_utensil_position_error_m_mean,virtual_utensil_position_error_m_median,virtual_utensil_position_error_m_p05,virtual_utensil_position_error_m_p95,virtual_utensil_position_error_m_min,virtual_utensil_position_error_m_max,virtual_utensil_orientation_error_rad_count,virtual_utensil_orientation_error_rad_mean,virtual_utensil_orientation_error_rad_median,virtual_utensil_orientation_error_rad_p05,virtual_utensil_orientation_error_rad_p95,virtual_utensil_orientation_error_rad_min,virtual_utensil_orientation_error_rad_max,solve_time_ms_count,solve_time_ms_mean,solve_time_ms_median,solve_time_ms_p05,solve_time_ms_p95,solve_time_ms_min,solve_time_ms_max,support_frames,support_runs,joint_step_support_values,total_wrapped_joint_travel_rad,max_wrapped_joint_step_rad,velocity_support_values,rms_joint_velocity_rad_s,max_joint_velocity_rad_s,acceleration_support_values,rms_joint_acceleration_rad_s2,max_joint_acceleration_rad_s2,jerk_support_values,rms_joint_jerk_rad_s3,max_joint_jerk_rad_s3,branch_changes,joint_limit_margin_support_frames,joint_limit_margin_rad_count,joint_limit_margin_rad_mean,joint_limit_margin_rad_median,joint_limit_margin_rad_p05,joint_limit_margin_rad_p95,joint_limit_margin_rad_min,joint_limit_margin_rad_max
feasibility,overall,overall,H_star,33999.0,32216.0,32216.0,288.0,31173.0,43.0,1000.0,0.0,96.76247827166625,"{""JOINT_LIMIT"": 43, ""NO_VALID_BRANCH"": 1000, ""SUCCESS_EXACT"": 31173}",32216.0,0.07604838233565213,0.04996365299144556,0.0022327856717193617,0.24924158593497192,0.0,0.5720630997569494,31173.0,3.6063843318107625e-11,1.9486530715141456e-11,1.6032402001291707e-12,1.2201394763053286e-10,3.314903602021605e-15,1.6696501184917328e-09,31173.0,2.1536314519244426e-10,1.1631769952074867e-10,9.605738765479049e-12,7.286077614458176e-10,1.9355309404615077e-14,9.97067350318012e-09,31173.0,3.174465007274117e-14,2.1316282072803006e-14,1.7763568394002505e-15,7.682743330406083e-14,0.0,3.963007699780974e-11,31173.0,3.6063843318107625e-11,1.9486530715141456e-11,1.6032402001291707e-12,1.2201394763053286e-10,3.314903602021605e-15,1.6696501184917328e-09,31173.0,2.1536314519244442e-10,1.1631769952074875e-10,9.605738765479057e-12,7.286077614458181e-10,1.9355309404615096e-14,9.970673503180128e-09,32216.0,9.348668171247558,8.992049988592044,5.937699985224754,14.98810003977269,0.4113000468350947,77.91880000149831,,,,,,,,,,,,,,,,,,,,,,,
all_method_common_success,overall,overall,H_star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30878.0,294.0,214088.0,1423.112234835432,3.140756721842512,214088.0,3.364462966591723,314.07567218425095,212093.0,434.9672561759047,31530.431793876505,210105.0,70567.30859288745,6291959.051051004,19.0,30878.0,30878.0,0.6046848181774623,0.635469947903739,0.2384787763442149,0.8888179030565413,0.0012467220398724166,1.0392683075140834
feasibility,overall,overall,HumanGT,33999.0,32216.0,32216.0,288.0,31058.0,154.0,1004.0,0.0,96.40551278867643,"{""JOINT_LIMIT"": 154, ""NO_VALID_BRANCH"": 1004, ""SUCCESS_EXACT"": 31058}",32216.0,0.0,0.0,0.0,0.0,0.0,0.0,31058.0,3.3336704064323137e-11,1.896436494006142e-11,1.5589553496599811e-12,1.1259492196337465e-10,7.550332863779066e-16,1.5036845858345487e-09,31058.0,1.990766110814807e-10,1.1326890270883703e-10,9.335413532569332e-12,6.724820918489662e-10,3.3401431882421017e-15,8.979872702977652e-09,31058.0,3.162963841227893e-14,2.0872192862952943e-14,1.7763568394002505e-15,7.460698725481052e-14,0.0,2.6254998175545552e-11,31058.0,3.3336704064323137e-11,1.896436494006142e-11,1.5589553496599811e-12,1.1259492196337465e-10,7.550332863779066e-16,1.5036845858345487e-09,31058.0,1.9907661108148082e-10,1.1326890270883712e-10,9.335413532569339e-12,6.724820918489668e-10,3.3401431882421044e-15,8.979872702977657e-09,32216.0,18.332223510022466,8.978100027889013,5.944275020738132,15.001075022155419,0.4171000327914953,288779.7615000163,,,,,,,,,,,,,,,,,,,,,,,
all_method_common_success,overall,overall,HumanGT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30878.0,294.0,214088.0,1326.6986000319214,3.1178211268421117,214088.0,2.6261157562549324,311.7821126842109,212093.0,309.2086293129845,30961.772327267212,210105.0,46050.617595390075,6190247.9558288185,12.0,30878.0,30878.0,0.6139768488111746,0.6474658997598937,0.255076485648738,0.8958622408613096,0.005228083920412185,1.074710124975569
feasibility,phase,transfer,B0,19495.0,18107.0,18107.0,135.0,17217.0,0.0,890.0,0.0,95.08477384436958,"{""NO_VALID_BRANCH"": 890, ""SUCCESS_EXACT"": 17217}",18107.0,0.10410527219523526,0.07860942240155966,0.002959752963970752,0.28591547058529765,0.0,0.4174834379438872,17217.0,3.059367755266475e-11,1.914876323570463e-11,1.500860525881138e-12,9.803277927959143e-11,2.249571853013791e-15,1.3175481747889748e-09,17217.0,1.8269727312057413e-10,1.1439729887961379e-10,8.944793799704319e-12,5.854481949635625e-10,2.0158021030947975e-14,7.868115366569709e-09,17217.0,3.4159428688318676e-14,2.4424906541753444e-14,2.220446049250313e-15,7.771561172376096e-14,0.0,2.397371190454578e-11,17217.0,3.059367755266475e-11,1.914876323570463e-11,1.500860525881138e-12,9.803277927959143e-11,2.249571853013791e-15,1.3175481747889748e-09,17217.0,1.826972731205743e-10,1.1439729887961386e-10,8.944793799704325e-12,5.854481949635629e-10,2.0158021030947994e-14,7.868115366569714e-09,18107.0,8.97624785977478,8.984799962490797,5.940780008677393,14.722589997109027,0.5833999603055418,81.34360000258312,,,,,,,,,,,,,,,,,,,,,,,
all_method_common_success,phase,transfer,B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17169.0,139.0,119210.0,512.8486513175827,1.386965143629082,119210.0,0.9523693462363044,138.69651436290806,118237.0,87.20613549458584,13519.203362572485,117264.0,12965.873335363829,1702737.4623455703,2.0,17169.0,17169.0,0.6483026770623675,0.6780468149500027,0.3187336407197562,0.9299983591072568,0.012142539252518958,1.0929380256907408
feasibility,phase,transfer,B1,19495.0,18107.0,18107.0,135.0,17246.0,0.0,861.0,0.0,95.24493289887889,"{""NO_VALID_BRANCH"": 861, ""SUCCESS_EXACT"": 17246}",18107.0,0.15301756896109547,0.13491493329777926,0.005860252065225158,0.36554740528000157,0.0,0.5348135200711885,17246.0,4.053526140708112e-11,2.2181768802742687e-11,1.7590486564790718e-12,1.253343664971837e-10,7.093328202128068e-15,1.6472598739959553e-09,17246.0,2.4206403286148513e-10,1.3250025109015336e-10,1.0468133515869162e-11,7.484639065230753e-10,5.4159911735424625e-14,9.837083380721134e-09,17246.0,4.0840679891527596e-14,2.3092638912203256e-14,2.220446049250313e-15,7.460698725481052e-14,0.0,9.71800417914892e-11,17246.0,4.053526140708112e-11,2.2181768802742687e-11,1.7590486564790718e-12,1.253343664971837e-10,7.093328202128068e-15,1.6472598739959553e-09,17246.0,2.4206403286148523e-10,1.3250025109015346e-10,1.0468133515869168e-11,7.484639065230759e-10,5.415991173542467e-14,9.837083380721142e-09,18107.0,8.895919931469587,8.94440000411123,5.898189975414425,14.813489990774542,0.6717999931424856,83.60529999481514,,,,,,,,,,,,,,,,,,,,,,,
all_method_common_success,phase,transfer,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17169.0,139.0,119210.0,550.3130625918734,3.14146119538727,119210.0,2.143349227691774,314.14611953872674,118237.0,291.9895393562541,31411.645251401085,117264.0,50721.7507465957,6278742.237358666,2.0,17169.0,17169.0,0.6687028746825802,0.7014162659534948,0.3271281092363064,0.9516288460079568,0.05196911236276058,1.1160904325020313
feasibility,phase,transfer,B2,19495.0,18107.0,18107.0,135.0,17182.0,0.0,925.0,0.0,94.8914784337549,"{""NO_VALID_BRANCH"": 925, ""SUCCESS_EXACT"": 17182}",18107.0,0.06148546489140309,0.047728895851604225,0.001960427587310898,0.16846687757255274,0.0,0.289943273217669,17182.0,2.4798330560816025e-11,1.684681309818367e-11,1.396109385899257e-12,7.596019663114074e-11,2.819753390353182e-15,1.0987923127972066e-09,17182.0,1.4808822898910095e-10,1.0060919252259971e-10,8.280955862880674e-12,4.535217551574182e-10,2.29519706987848e-14,6.561754696083894e-09,17182.0,3.658662374471399e-14,2.5757174171303632e-14,2.220446049250313e-15,8.215650382226158e-14,0.0,1.7929657758486428e-11,17182.0,2.4798330560816025e-11,1.684681309818367e-11,1.396109385899257e-12,7.596019663114074e-11,2.819753390353182e-15,1.0987923127972066e-09,17182.0,1.4808822898910102e-10,1.006091925225998e-10,8.280955862880679e-12,4.535217551574187e-10,2.2951970698784818e-14,6.561754696083897e-09,18107.0,9.013319671898381,8.99030000437051,5.917799967573956,14.505540014943108,0.501000031363219,81.84970001457259,,,,,,,,,,,,,,,,,,,,,,,
all_method_common_success,phase,transfer,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17169.0,139.0,119210.0,513.6870431316097,2.1813053402708285,119210.0,1.7299851266361765,218.1305340270875,118237.0,198.7238740608838,24329.095705470907,117264.0,30475.64144716661,4539757.964363674,6.0,17169.0,17169.0,0.6091200679328741,0.6327595099414314,0.29414606164807305,0.8828213434344981,0.0011552091871527281,1.046267990964198
feasibility,phase,transfer,B3,19495.0,18107.0,18107.0,135.0,17183.0,0.0,924.0,0.0,94.89700115977246,"{""NO_VALID_BRANCH"": 924, ""SUCCESS_EXACT"": 17183}",18107.0,0.06142574062763846,0.0459174990616642,0.0032481010759428663,0.17286876352318234,0.0,0.29295588599399514,17183.0,2.4381893686925853e-11,1.6709439320858702e-11,1.3550335373153836e-12,7.338171706290356e-11,7.0789233933558266e-15,1.3074662449616936e-09,17183.0,1.4560065641024675e-10,9.981296477165116e-11,8.093747859203715e-12,4.381702974286438e-10,1.3351855286698147e-14,7.806280485728662e-09,17183.0,5.602352209695517e-14,2.531308496145357e-14,2.220446049250313e-15,8.08242361927114e-14,0.0,2.987352587524583e-10,17183.0,2.4381893686925853e-11,1.6709439320858702e-11,1.3550335373153836e-12,7.338171706290356e-11,7.0789233933558266e-15,1.3074662449616936e-09,17183.0,1.456006564102469e-10,9.981296477165125e-11,8.093747859203722e-12,4.381702974286442e-10,1.3351855286698156e-14,7.806280485728668e-09,18107.0,9.079584547562266,9.003899991512299,5.918839975493029,14.643539977259934,0.5002999678254128,88.10000005178154,,,,,,,,,,,,,,,,,,,,,,,
