record_id,parent_bite_id,take,phase,generated_duration_s,gt_duration_s,duration_error_s,absolute_duration_error_s
trial_0013_bite_007_withdrawal,trial_0013_bite_007,trial_0013,withdrawal,1.07,1.35,-0.28,0.28
trial_0013_bite_008_transfer,trial_0013_bite_008,trial_0013,transfer,1.45,1.97,-0.52,0.52
trial_0013_bite_008_withdrawal,trial_0013_bite_008,trial_0013,withdrawal,1.07,0.85,0.22000000000000008,0.22000000000000008
trial_0013_bite_009_transfer,trial_0013_bite_009,trial_0013,transfer,1.45,1.57,-0.1200000000000001,0.1200000000000001
trial_0013_bite_009_withdrawal,trial_0013_bite_009,trial_0013,withdrawal,1.07,1.07,0.0,0.0
trial_0013_bite_010_transfer,trial_0013_bite_010,trial_0013,transfer,1.45,1.34,0.10999999999999988,0.10999999999999988
trial_0013_bite_010_withdrawal,trial_0013_bite_010,trial_0013,withdrawal,1.07,1.39,-0.31999999999999984,0.31999999999999984
trial_0013_bite_011_transfer,trial_0013_bite_011,trial_0013,transfer,1.45,1.3,0.1499999999999999,0.1499999999999999
trial_0013_bite_011_withdrawal,trial_0013_bite_011,trial_0013,withdrawal,1.07,1.17,-0.09999999999999987,0.09999999999999987
trial_0013_bite_012_transfer,trial_0013_bite_012,trial_0013,transfer,1.45,1.39,0.06000000000000005,0.06000000000000005
trial_0013_bite_012_withdrawal,trial_0013_bite_012,trial_0013,withdrawal,1.07,0.98,0.09000000000000008,0.09000000000000008
trial_0014_bite_001_transfer,trial_0014_bite_001,trial_0014,transfer,1.48,1.55,-0.07000000000000006,0.07000000000000006
trial_0014_bite_001_withdrawal,trial_0014_bite_001,trial_0014,withdrawal,1.11,0.97,0.14000000000000012,0.14000000000000012
trial_0014_bite_002_transfer,trial_0014_bite_002,trial_0014,transfer,1.48,1.73,-0.25,0.25
trial_0014_bite_002_withdrawal,trial_0014_bite_002,trial_0014,withdrawal,1.11,1.08,0.030000000000000027,0.030000000000000027
trial_0014_bite_003_transfer,trial_0014_bite_003,trial_0014,transfer,1.48,1.31,0.16999999999999993,0.16999999999999993
trial_0014_bite_003_withdrawal,trial_0014_bite_003,trial_0014,withdrawal,1.11,1.01,0.10000000000000009,0.10000000000000009
trial_0014_bite_004_transfer,trial_0014_bite_004,trial_0014,transfer,1.48,1.11,0.3699999999999999,0.3699999999999999
trial_0014_bite_004_withdrawal,trial_0014_bite_004,trial_0014,withdrawal,1.11,0.94,0.17000000000000015,0.17000000000000015
trial_0014_bite_005_transfer,trial_0014_bite_005,trial_0014,transfer,1.48,1.23,0.25,0.25
trial_0014_bite_005_withdrawal,trial_0014_bite_005,trial_0014,withdrawal,1.11,0.61,0.5000000000000001,0.5000000000000001
trial_0014_bite_006_transfer,trial_0014_bite_006,trial_0014,transfer,1.48,0.9,0.58,0.58
trial_0014_bite_006_withdrawal,trial_0014_bite_006,trial_0014,withdrawal,1.11,0.8,0.31000000000000005,0.31000000000000005
trial_0014_bite_007_transfer,trial_0014_bite_007,trial_0014,transfer,1.48,1.1,0.3799999999999999,0.3799999999999999
trial_0014_bite_007_withdrawal,trial_0014_bite_007,trial_0014,withdrawal,1.11,0.85,0.2600000000000001,0.2600000000000001
trial_0014_bite_008_transfer,trial_0014_bite_008,trial_0014,transfer,1.48,0.93,0.5499999999999999,0.5499999999999999
trial_0014_bite_008_withdrawal,trial_0014_bite_008,trial_0014,withdrawal,1.11,0.73,0.3800000000000001,0.3800000000000001
trial_0014_bite_009_transfer,trial_0014_bite_009,trial_0014,transfer,1.48,1.13,0.3500000000000001,0.3500000000000001
trial_0014_bite_009_withdrawal,trial_0014_bite_009,trial_0014,withdrawal,1.11,0.51,0.6000000000000001,0.6000000000000001
trial_0014_bite_010_transfer,trial_0014_bite_010,trial_0014,transfer,1.48,1.23,0.25,0.25
trial_0014_bite_010_withdrawal,trial_0014_bite_010,trial_0014,withdrawal,1.11,0.76,0.3500000000000001,0.3500000000000001
