record_id,parent_bite_id,take,phase,usable,exclusion_reason,initial_tool_position_B_x,initial_tool_position_B_y,initial_tool_position_B_z,initial_tool_rotation_rotvec_x,initial_tool_rotation_rotvec_y,initial_tool_rotation_rotvec_z,initial_tool_orientation_B_r0c0,initial_tool_orientation_B_r0c1,initial_tool_orientation_B_r0c2,initial_tool_orientation_B_r1c0,initial_tool_orientation_B_r1c1,initial_tool_orientation_B_r1c2,initial_tool_orientation_B_r2c0,initial_tool_orientation_B_r2c1,initial_tool_orientation_B_r2c2,initial_valid_tool_sample_index,plate_position_B_x,plate_position_B_y,plate_position_B_z,mouth_proxy_position_B_x,mouth_proxy_position_B_y,mouth_proxy_position_B_z,valid_plate_fraction,finite_mouth_proxy_fraction,mouth_proxy_constant_within_record,mouth_proxy_max_deviation_m,segment_duration_s,valid_tool_pose_samples,total_samples,final_fork_to_mouth_proxy_distance_m,max_relative_rotation_rad
trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,True,,0.005755899,0.090920344,0.141713321,-2.2540207680498905,-0.6292491646448948,-2.0458153790405946,0.05193826222100677,0.31537890398204027,0.9475434363872448,0.27164666075157795,-0.9175087616137725,0.2904922788379726,0.9609945414100847,0.24230934626020584,-0.1333254367889811,0,-0.151067789247,0.126267091495,0.006906875109999999,0.048867913205,0.679295090681,0.355708360969,1.0,1.0,True,0.0,1.43,144,144,0.17999998162493697,0.3176354729241396
trial_0012_bite_001_withdrawal,trial_0012_bite_001,trial_0012,withdrawal,True,,0.089758515,0.495595783,0.382615715,-2.0742275177891645,-0.3378045316498888,-2.2534029416394032,-0.09269508745161276,0.1915385259098462,0.9770980574408185,0.10339317714245133,-0.9741664358433305,0.20077252351029462,0.9903118052829257,0.1196358991631914,0.07049666622392269,0,-0.151067789247,0.126267091495,0.006906875109999999,0.048867913205,0.679295090681,0.355708360969,1.0,1.0,True,0.0,1.01,102,102,0.750841347922797,0.22388722379057865
trial_0012_bite_002_transfer,trial_0012_bite_002,trial_0012,transfer,True,,-0.083475977,0.026380206,0.089324072,-1.9658238540057922,-0.4064550648517098,-2.1956236919061647,-0.11891517476322502,0.3017165474318594,0.9459525919499512,0.05690362555172157,-0.9490758687585893,0.30986605612618967,0.9912724946300596,0.09067590829943761,0.09569075735916648,0,-0.151067789247,0.126267091495,0.006906875109999999,0.041847285208000004,0.68963754891,0.35041328662000004,1.0,1.0,True,0.0,1.87,188,188,0.17999993491952182,0.24899688751357857
trial_0012_bite_002_withdrawal,trial_0012_bite_002,trial_0012,withdrawal,True,,0.08587683,0.505704045,0.379317313,-1.9492505467027372,-0.3348942854503256,-2.341637037034241,-0.18940825146061438,0.19712386559640901,0.9619078416828515,0.08040220939492881,-0.9732374127019844,0.21527754932078144,0.9786010417954024,0.11811485990118409,0.1684900022775149,0,-0.151067789247,0.126267091495,0.006906875109999999,0.041847285208000004,0.68963754891,0.35041328662000004,1.0,1.0,True,0.0,1.12,113,113,0.6110092100616089,1.1539991802294072
trial_0012_bite_003_transfer,trial_0012_bite_003,trial_0012,transfer,True,,-0.0715238,0.008721223,0.065717295,-2.117759862939441,-0.40664768943570473,-2.1392995461330337,-0.02508203515793024,0.25928804936293715,0.9654742870578685,0.1130396149492297,-0.9588484298933716,0.2604452609343197,0.9932738479213404,0.11566933884387448,-0.005259951231211507,0,-0.151067789247,0.126267091495,0.006906875109999999,0.0443931647,0.671077142225,0.35905575837200004,1.0,1.0,True,0.0,1.45,146,146,0.17999996773385396,0.19136627021293992
trial_0012_bite_003_withdrawal,trial_0012_bite_003,trial_0012,withdrawal,True,,0.077782467,0.491717488,0.385699451,-2.1035395657068094,-0.3706258332423062,-2.267977581430228,-0.08802846373325932,0.17965805433935791,0.979782615218171,0.14158474373554925,-0.9713579025701928,0.19083392113504036,0.9860044370661327,0.15552108739792253,0.06007030431474968,0,-0.151067789247,0.126267091495,0.006906875109999999,0.0443931647,0.671077142225,0.35905575837200004,1.0,1.0,True,0.0,0.98,99,99,0.6543183642659524,0.8868138993617966
trial_0012_bite_004_transfer,trial_0012_bite_004,trial_0012,transfer,True,,-0.062105317,0.001421836,0.070183359,-2.115003594118703,-0.5208464991032539,-2.125104013080843,-0.0314144462898408,0.30598783643242083,0.951516986984315,0.16867917897121587,-0.9367092396162578,0.30679493965697807,0.985170273174084,0.17013889729552845,-0.022187574927476916,0,-0.151067789247,0.126267091495,0.006906875109999999,0.031202156455,0.6893109577840001,0.35414624294100006,1.0,1.0,True,0.0,1.46,147,147,0.17999988162644562,0.33620045676200355
trial_0012_bite_004_withdrawal,trial_0012_bite_004,trial_0012,withdrawal,True,,0.071025014,0.513205349,0.384638458,-2.0402518221995996,-0.3349764664927284,-2.3282463308718397,-0.1411130805543902,0.1617523867808626,0.9766899527829416,0.1201513116793973,-0.9764709713108849,0.17907569485806224,0.9826753079212741,0.14262050188479813,0.11835806539462265,0,-0.151067789247,0.126267091495,0.006906875109999999,0.031202156455,0.6893109577840001,0.35414624294100006,1.0,1.0,True,0.0,1.39,140,140,0.5626349728035006,1.550671689556708
trial_0012_bite_005_transfer,trial_0012_bite_005,trial_0012,transfer,True,,-0.062131163,0.03696581,0.111591153,-1.647591901635263,-0.44590891140440897,-2.433874845488986,-0.3757936292397608,0.3026826679140822,0.8758780456017965,0.02749258083962658,-0.9410972477537759,0.33701651038049285,0.9262954745768684,0.1507288055239664,0.34533682248455994,0,-0.151067789247,0.126267091495,0.006906875109999999,0.030260139313,0.6725510875540001,0.363126310375,1.0,1.0,True,0.0,1.21,122,122,0.17999995813665656,0.22731658479843267
trial_0012_bite_005_withdrawal,trial_0012_bite_005,trial_0012,withdrawal,True,,0.087208062,0.493108958,0.394048393,-1.844893307478949,-0.3734042901532248,-2.3950880333181246,-0.2635428170693935,0.22300454032043068,0.9385169996156715,0.07327235718227176,-0.9654732428261341,0.24998515767889634,0.9618608762415084,0.13464914549770635,0.23810346988789496,0,-0.151067789247,0.126267091495,0.006906875109999999,0.030260139313,0.6725510875540001,0.363126310375,1.0,1.0,True,0.0,1.36,137,137,0.5300884708962967,1.8248983183618355
