scope,grouping,group,strategy,source_valid_frames,attempted_frames,SUCCESS_EXACT,success_percent,continuous_frame_percent,continuity_violations,JOINT_LIMIT,NO_VALID_BRANCH,NO_FEASIBLE_PSI,INPUT_NOT_SOLVED,other_status,clean_wrapped_delta_q_rad_support_values,clean_wrapped_delta_q_rad_p95,clean_wrapped_delta_q_rad_max,clean_wrapped_delta_q_rad_rms,clean_joint_velocity_rad_s_support_values,clean_joint_velocity_rad_s_p95,clean_joint_velocity_rad_s_max,clean_joint_velocity_rad_s_rms,clean_joint_acceleration_rad_s2_support_values,clean_joint_acceleration_rad_s2_p95,clean_joint_acceleration_rad_s2_max,clean_joint_acceleration_rad_s2_rms,clean_joint_jerk_rad_s3_support_values,clean_joint_jerk_rad_s3_p95,clean_joint_jerk_rad_s3_max,clean_joint_jerk_rad_s3_rms,joint_limit_margin_rad_count,joint_limit_margin_rad_min,joint_limit_margin_rad_mean,joint_limit_margin_rad_p95,joint_limit_margin_rad_max,total_wrapped_joint_travel_rad,continuous_segments,longest_continuous_segment_frames,clean_branch_changes,clean_search_branch_changes,search_attempted_frames,local_selected_frames,local_candidate_selected_percent,global_recovery_frames,global_recovery_percent,no_feasible_psi_frames,average_candidates_evaluated_among_search_attempts,chosen_abs_delta_psi_rad_count,chosen_abs_delta_psi_rad_min,chosen_abs_delta_psi_rad_mean,chosen_abs_delta_psi_rad_p95,chosen_abs_delta_psi_rad_max,total_psi_travel_rad,candidate_SUCCESS_EXACT,candidate_JOINT_LIMIT,candidate_NO_VALID_BRANCH,candidate_other_status
clean_motion,overall,overall,B0,32216,32216,30931,96.01129873354854,99.89977692282822,31,318,967,0,0,0,214249,0.019578727955855028,0.4671074736751791,0.010265722887431168,214249,1.9578727955855009,46.71074736751787,1.0265722887431168,212135,53.041362277224394,4896.891566947038,41.656167434148124,210042,7562.278256799185,955412.8382940255,5922.296749814695,30931,1.0969169156105352e-05,0.6069347531907668,0.9126321153121543,1.0929380256907408,1308.6182439013555,324,332,30596,7,,,,,,,,,,,,,,,,,
clean_motion,overall,overall,B1,32216,32216,31005,96.2409982617333,99.89679084018707,32,273,938,0,0,0,214739,0.019528262191992007,0.39988451027107974,0.010369606492785998,214739,1.952826219199199,39.98845102710794,1.0369606492785997,212632,53.732249090014264,3372.8474058247652,40.09663014867569,210532,7681.812791954152,632926.1219544893,5135.043389729286,31005,0.00018105748675534272,0.6271834773429419,0.9334274451276225,1.1160904325020313,1334.823649376412,328,332,30668,4,,,,,,,,,,,,,,,,,
clean_motion,overall,overall,B2,32216,32216,31173,96.76247827166625,99.91980239309659,25,41,1002,0,0,0,215999,0.018857621410493134,0.46594226984152387,0.010185535381792694,215999,1.8857621410493117,46.59422698415234,1.0185535381792694,213955,53.40872189895135,3614.3141910436616,40.50475266370949,211932,7619.5159698434145,449763.9714663388,5169.904670911141,31173,0.0005470195868380046,0.5989492074379594,0.8829078561501075,1.046267990964198,1263.0282857847117,316,332,30846,4,,,,,,,,,,,,,,,,,
clean_motion,overall,overall,B3,32216,32216,31174,96.76558231934442,99.9101815615577,28,41,1001,0,0,0,215985,0.019657700529263418,0.4576930690170524,0.010452974062859631,215985,1.96577005292634,45.7693069017052,1.0452974062859632,213906,71.69492888868355,3204.9310038364383,46.80681474778427,211869,11023.997693000365,392019.491224071,6636.537486365902,31174,0.0012046332676467486,0.5960521955037457,0.8792123041865021,1.0443771465693326,1317.5522628573344,319,332,30846,8,,,,,,,,,,,,,,,,,
clean_motion,overall,overall,StrongLocal,32216,32216,31178,96.77799851005712,99.90377830521521,30,42,996,0,0,0,215992,0.019520232211576123,0.4458482544967448,0.010373145771146442,215992,1.9520232211576105,44.58482544967444,1.037314577114644,213920,74.3980918469293,3439.729514346264,47.96571791214218,211876,11665.857407980173,560959.3837535364,7101.870431287055,31178,0.0010663462958309111,0.6031030412260064,0.8858420540618488,1.0441464773029638,1312.4393533577127,322,332,30843,7,,,,,,,,,,,,,,,,,
clean_motion,overall,overall,H_star,32216,32216,31173,96.76247827166625,99.91980239309659,25,43,1000,0,0,0,215992,0.019773267728449954,0.4187264326654181,0.010476845968763958,215992,1.977326772845,41.8726432665427,1.047684596876396,213934,93.05446157062629,3253.4495055690963,55.05715587623821,211897,15267.516177908225,456584.0002910668,8462.515878524495,31173,0.0004203168319323325,0.6004128958540008,0.8878540201237891,1.0392683075140834,1341.6204595170796,317,332,30847,7,,,,,,,,,,,,,,,,,
clean_motion,overall,overall,HumanGT,32216,32216,31058,96.40551278867645,99.93560435314572,20,154,1004,0,0,0,215208,0.019029198526982188,0.4344009341297679,0.010225226148425437,215208,1.902919852698217,43.44009341297675,1.0225226148425437,213157,58.38036007246557,3273.9072220033477,42.565203410769826,211127,8649.107374272773,343410.15964745474,5410.475094463623,31058,0.001107492407420807,0.6107419941677852,0.8955080144085474,1.074710124975569,1267.4333609874684,314,332,30726,2,,,,,,,,,,,,,,,,,
clean_motion,overall,overall,RobotSmooth,32216,30753,30729,95.38428110255774,99.990237235185,3,0,5,19,1463,0,213101,0.01895478372401183,0.41716152616526303,0.009900972847750713,213101,1.8954783724011812,41.716152616526266,0.9900972847750709,211183,55.5223573639315,4979.384596945601,63.30353728655599,209265,8265.60618069571,944692.4393732321,10369.970393028125,30729,1.0969169156105352e-05,0.6097747451270565,0.9129994133256852,1.0929380256907408,1276.508643415076,286,332,9,2,30465.0,30446.0,99.93763334974561,0.0,0.0,19.0,9.019957328081405,30446.0,0.0,0.0007291598239505983,0.0,0.3999999999999999,22.200000000000117,272549.0,939.0,1305.0,0.0
clean_motion,phase,transfer,B0,18107,18107,17217,95.08477384436958,99.94772608468374,9,0,890,0,0,0,119490,0.011635013750886283,0.4671074736751791,0.007660142976805698,119490,1.1635013750886274,46.71074736751787,0.7660142976805697,118503,41.84604255712122,4896.891566947038,45.51113540932597,117516,6686.925563367712,955412.8382940255,6586.798783271242,17217,0.012142539252518958,0.6472076403207825,0.929620318610418,1.0929380256907408,519.1791799634963,147,332,17065,3,,,,,,,,,,,,,,,,,
clean_motion,phase,transfer,B1,18107,18107,17246,95.24493289887889,99.93621709381885,11,0,861,0,0,0,119658,0.01217408351137603,0.39988451027107974,0.007758134412913623,119658,1.217408351137603,39.98845102710794,0.7758134412913618,118643,42.21793150540643,3372.8474058247652,42.0010074993209,117635,6757.114815364435,632926.1219544893,5216.79508962464,17246,0.05196911236276058,0.6669427434512825,0.9509406926586381,1.1160904325020313,544.6016003809905,152,332,17088,3,,,,,,,,,,,,,,,,,
clean_motion,phase,transfer,B2,18107,18107,17182,94.89147843375491,99.90687929228262,16,0,925,0,0,0,119196,0.01075226589373135,0.46594226984152387,0.008031284275255592,119196,1.075226589373134,46.59422698415234,0.8031284275255596,118195,40.88057324579211,3614.3141910436616,42.94275929281943,117201,6519.989182834678,449763.9714663388,5248.512252660385,17182,0.0011552091871527281,0.6088455213297447,0.8827469266259205,1.046267990964198,491.3589283004005,154,332,17021,3,,,,,,,,,,,,,,,,,
