scope,grouping,group,strategy_a,strategy_b,solver_common_success_frames,clean_common_frames,clean_common_intervals,strategy_a_continuity_violations,strategy_b_continuity_violations,violations_difference_a_minus_b,strategy_a_travel_support_values,strategy_a_travel_total,strategy_a_travel_rms,strategy_a_travel_p95,strategy_a_travel_max,strategy_b_travel_support_values,strategy_b_travel_total,strategy_b_travel_rms,strategy_b_travel_p95,strategy_b_travel_max,travel_difference_a_minus_b,strategy_a_velocity_support_values,strategy_a_velocity_total,strategy_a_velocity_rms,strategy_a_velocity_p95,strategy_a_velocity_max,strategy_b_velocity_support_values,strategy_b_velocity_total,strategy_b_velocity_rms,strategy_b_velocity_p95,strategy_b_velocity_max,rms_velocity_difference_a_minus_b,strategy_a_acceleration_support_values,strategy_a_acceleration_total,strategy_a_acceleration_rms,strategy_a_acceleration_p95,strategy_a_acceleration_max,strategy_b_acceleration_support_values,strategy_b_acceleration_total,strategy_b_acceleration_rms,strategy_b_acceleration_p95,strategy_b_acceleration_max,rms_acceleration_difference_a_minus_b,strategy_a_jerk_support_values,strategy_a_jerk_total,strategy_a_jerk_rms,strategy_a_jerk_p95,strategy_a_jerk_max,strategy_b_jerk_support_values,strategy_b_jerk_total,strategy_b_jerk_rms,strategy_b_jerk_p95,strategy_b_jerk_max,rms_jerk_difference_a_minus_b,strategy_a_joint_limit_margin_rad_count,strategy_a_joint_limit_margin_rad_min,strategy_a_joint_limit_margin_rad_mean,strategy_a_joint_limit_margin_rad_p95,strategy_a_joint_limit_margin_rad_max,strategy_b_joint_limit_margin_rad_count,strategy_b_joint_limit_margin_rad_min,strategy_b_joint_limit_margin_rad_mean,strategy_b_joint_limit_margin_rad_p95,strategy_b_joint_limit_margin_rad_max,min_margin_difference_a_minus_b_positive_is_higher
pairwise_continuity_clean,overall,overall,StrongLocal,B0,30898,30849,30555,30,31,-1,213885,1299.6680255367207,0.010382627698184956,0.019520097717545145,0.4458482544967448,213885,1293.7211797469736,0.009730581181188783,0.019461392215007572,0.32157701013255213,5.946845789747158,213885,,1.0382627698184954,1.9520097717545128,44.58482544967444,213885,,0.9730581181188782,1.9461392215007642,32.15770101325523,0.0652046516996172,211694,,47.94102927249392,74.061144080647,3439.729514346264,211694,,30.174596854466568,52.585597926092916,2228.338976270923,17.766432418027353,209552,,7099.507157549086,11606.557121943462,560959.3837535364,209552,,4205.068858686816,7493.145561506349,296825.28834736766,2894.438298862269,30849,0.0010663462958309111,0.6074563072459723,0.8866140524506999,1.0441464773029638,30849,1.0969169156105352e-05,0.6079868813222898,0.9128221518836022,1.0929380256907408,0.0010553771266748058
pairwise_continuity_clean,phase,transfer,StrongLocal,B0,17188,17170,17031,18,9,9,119217,511.8480789193213,0.007974495465823033,0.01119002636564348,0.4458482544967448,119217,505.7671676041942,0.0063053422431193305,0.011556914786171912,0.2582754659009281,6.080911315127139,119217,,0.7974495465823032,1.119002636564347,44.58482544967444,119217,,0.630534224311933,1.1556914786171901,25.827546590092787,0.1669153222703702,118202,,48.192641642862995,59.70736731965371,3439.729514346264,118202,,24.429471301079147,41.19971530814401,1329.325985368548,23.763170341783848,117201,,6972.771865437322,10130.023417237206,560959.3837535364,117201,,3511.148788140164,6598.042513172857,128954.47013928472,3461.623077297158,17170,0.0010663462958309111,0.6102714916136145,0.8732572008379575,1.041864918860412,17170,0.012142539252518958,0.6482973097900719,0.929985679924912,1.0929380256907408,-0.011076192956688047
pairwise_continuity_clean,phase,withdrawal,StrongLocal,B0,13710,13679,13524,12,22,-10,94668,787.8199466173994,0.012785491526846405,0.02718856012913999,0.3164210560880632,94668,787.9540121427794,0.012800567869952983,0.027806910525514917,0.32157701013255213,-0.1340655253800378,94668,,1.2785491526846404,2.718856012913997,31.642105608806336,94668,,1.2800567869952986,2.7806910525514943,32.15770101325523,-0.0015076343106581458,93492,,47.62101270041111,88.65162738317865,2200.918545203524,93492,,36.15420527227059,65.38163767096935,2228.338976270923,11.46680742814052,92351,,7257.158666195428,13409.115585205402,286278.64670863014,92351,,4947.5070330008875,8626.904299416397,296825.28834736766,2309.6516331945404,13679,0.0018121849195633644,0.6039226632959457,0.8954760778736294,1.0441464773029638,13679,1.0969169156105352e-05,0.5573888802409372,0.8882287458819516,1.032735259595102,0.001801215750407259
pairwise_continuity_clean,take,trial_0012,StrongLocal,B0,3526,3506,3472,18,7,11,24304,219.21280911534768,0.015539724533491159,0.027364615354521442,0.36886824539966184,24304,201.80605724677537,0.012979973082847594,0.025189553584451806,0.32157701013255213,17.406751868572314,24304,,1.5539724533491157,2.736461535452142,36.88682453996615,24304,,1.2979973082847593,2.5189553584451785,32.15770101325523,0.25597514506435637,24010,,94.91246644777053,129.9917857644034,3439.729514346264,24010,,49.76355810665223,71.11153574819869,2228.338976270923,45.14890834111829,23730,,14863.283165644258,22586.586842888893,560959.3837535364,23730,,7380.722298831392,11430.59662416897,296825.28834736766,7482.560866812865,3506,0.0010663462958309111,0.5018794784586053,0.8348805383664639,1.0202588005809456,3506,0.000873382880274054,0.49680537359936283,0.8039252487740175,0.963097103140937,0.00019296341555685714
pairwise_continuity_clean,take,trial_0013,StrongLocal,B0,2656,2653,2623,3,2,1,18361,114.56100653615363,0.010877201957430534,0.018913976399683285,0.3418637237159037,18361,113.57425469767705,0.009928109811053713,0.019283083152433766,0.2582754659009281,0.9867518384765788,18361,,1.0877201957430533,1.8913976399683285,34.18637237159034,18361,,0.992810981105371,1.9283083152433749,25.827546590092787,0.09490921463768232,18137,,49.744561319625966,76.81679953727982,1925.5125511671442,18137,,36.30691543375483,60.70508773569553,1329.325985368548,13.437645885871135,17920,,7002.456336039416,12641.854977233033,146557.51813313883,17920,,5132.03497969749,9495.734461017099,101946.05658850685,1870.4213563419262,2653,0.2493976534881135,0.5678606802703469,0.8282401806434422,0.998269865221344,2653,0.15177088734611832,0.5558034940475162,0.8423922782899299,0.9864568561261335,0.09762676614199517
pairwise_continuity_clean,take,trial_0014,StrongLocal,B0,4650,4648,4606,2,1,1,32242,208.53529736557243,0.010146551316722758,0.02118708112282233,0.16135825103064017,32242,208.00556734000287,0.0099607729429463,0.021116878337580292,0.11229980677660589,0.5297300255695632,32242,,1.0146551316722756,2.1187081122822424,16.135825103064,32242,,0.9960772942946299,2.1116878337580274,11.22998067766058,0.018577837377645734,31934,,36.054400967690846,71.24501118261729,708.7466430168186,31934,,21.859236891013975,43.6744089093194,446.1273543367108,14.195164076676871,31640,,5721.232003267581,11217.531696939846,109165.38194733216,31640,,3041.0155773205297,5916.609375396807,63336.52155031106,2680.216425947051,4648,0.10909871553798745,0.7090769043156561,0.9388716816688466,1.0441464773029638,4648,0.003313265152586453,0.7100827358474491,0.9860146944659142,1.0929380256907408,0.10578545038540099
pairwise_continuity_clean,take,trial_0015,StrongLocal,B0,5358,5355,5316,3,3,0,37212,159.02538523982048,0.0074114630265547255,0.011069617741669873,0.36696977964664956,37212,166.561722763797,0.006673117896615062,0.011684910043973757,0.183415380203775,-7.536337523976528,37212,,0.7411463026554723,1.1069617741669897,36.696977964664924,37212,,0.6673117896615061,1.168491004397376,18.341538020377484,0.07383451299396626,36932,,35.12950467973127,50.94225000762521,2086.240684964441,36932,,25.32089002750479,43.99738709277892,990.7697663437049,9.808614652226478,36652,,4430.967369619522,8260.764617520721,133695.3101010473,36652,,3610.244691706631,6922.649491446299,93662.91606252821,820.7226779128914,5355,0.13013622024998384,0.720019826452147,0.919855319449203,0.996415403462807,5355,0.13166417430762856,0.7282414771604557,0.9690266918256334,1.0540144124488857,-0.0015279540576447204
pairwise_continuity_clean,take,trial_0017,StrongLocal,B0,3734,3732,3677,2,1,1,25739,134.98643660069473,0.00962138797697965,0.016339771324404444,0.4458482544967448,25739,135.11956215291764,0.008408833419874022,0.016736514177641187,0.21292721865661735,-0.13312555222290712,25739,,0.962138797697965,1.6339771324404428,44.58482544967444,25739,,0.8408833419874018,1.6736514177641189,21.292721865661715,0.12125545571056318,25417,,43.96718392595546,54.990079876850004,2960.552671157458,25417,,26.15639360968697,47.338028181329854,1124.550096312429,17.81079031626849,25095,,5513.885684855917,7747.662798015998,225727.87838194412,25095,,3286.1229745030787,5912.542119684026,79812.41054252554,2227.7627103528384,3732,0.18771402281919736,0.5287240739293676,0.7888899089769432,1.032735259595102,3732,0.09803285262793882,0.5258910364788868,0.7860547950061443,1.032735259595102,0.08968117019125854
pairwise_continuity_clean,take,trial_0019,StrongLocal,B0,6407,6399,6342,2,6,-4,44394,287.9956829035792,0.010080959488362672,0.021791856675133534,0.09401206918056904,44394,292.85476420282953,0.010330517271157054,0.02208397800698542,0.08998043396159616,-4.859081299250306,44394,,1.0080959488362673,2.1791856675133516,9.401206918056895,44394,,1.0330517271157054,2.208397800698556,8.99804339615961,-0.024955778279438068,43953,,33.03443331791599,65.02944222147269,695.7293292087728,43953,,25.836702830097924,50.94531349320866,413.19372351730635,7.197730487818067,43519,,4968.4161131145665,9056.544741420816,127481.15473945953,43519,,3514.100933176708,6562.979905739514,71153.23257400143,1454.3151799378584,6399,0.0018121849195633644,0.6320455365235194,0.8415325889308798,0.956127055945359,6399,1.0969169156105352e-05,0.6411666814158183,0.8660176007305279,1.0226074946185655,0.001801215750407259
pairwise_continuity_clean,take,trial_0020,StrongLocal,B0,4567,4556,4519,0,11,-11,31633,175.35140777555253,0.009336606741254019,0.020148393966161363,0.0968078829860848,31633,175.79925134297417,0.00962960851200106,0.02032437452917824,0.08228992932864054,-0.4478435674216428,31633,,0.9336606741254019,2.0148393966161344,9.680788298608471,31633,,0.9629608512001059,2.032437452917823,8.228992932864047,-0.029300177074704004,31311,,36.26836325694518,67.35523415716071,673.8842566109225,31311,,27.520854383101284,52.795451564321404,562.3147366840433,8.747508873843895,30996,,5232.038103428083,8604.31160060248,122759.13861650135,30996,,3417.627918297481,6102.893524624102,91474.77493975197,1814.4101851306018,4556,0.017736837271419947,0.5057380447693334,0.8125651811507777,0.9615563399318585,4556,0.009977752858944644,0.49907646695164154,0.8013183206416494,0.9250478280569787,0.007759084412475303
