take,record_id,parent_bite_id,phase,strategy,segment_id,frames,start_index,end_index,start_time_s,end_time_s,start_motive_frame,end_motive_frame,joint_limit_margin_min_rad,joint_limit_margin_mean_rad,joint_limit_margin_p95_rad,joint_limit_margin_max_rad,travel_total_rad,travel_rms,travel_p95,travel_max,velocity_total_rad,velocity_rms,velocity_p95,velocity_max,acceleration_total_rad,acceleration_rms,acceleration_p95,acceleration_max,jerk_total_rad,jerk_rms,jerk_p95,jerk_max
trial_0012,trial_0012_bite_001_transfer,trial_0012_bite_001,transfer,B0,0,144,0,143,0.0,1.43,315,458,0.21589708384199469,0.48416872681349044,0.7082436074365925,0.7266212204522133,4.4277175468865,0.0053392141901550914,0.009566746514970248,0.01674333153620111,,0.5339214190155092,0.9566746514970239,1.6743331536201096,,29.038754066576143,60.03446387479889,153.07101295842313,,5039.6350993837095,10146.818782873996,18419.411784118052
trial_0012,trial_0012_bite_001_transfer,trial_0012_bite_001,transfer,B1,0,144,0,143,0.0,1.43,315,458,0.23201108825498018,0.49981830674816774,0.7299858155129729,0.7489006098708888,4.627980712723756,0.005533405980611807,0.009632145704997262,0.01754120777553636,,0.5533405980611806,0.9632145704997254,1.7541207775536363,,28.499008396915436,60.88928658784276,151.93730514091425,,4978.244078189538,10075.580602868211,18356.372314206346
trial_0012,trial_0012_bite_001_transfer,trial_0012_bite_001,transfer,B2,0,144,0,143,0.0,1.43,315,458,0.17570505120244562,0.4415464005731526,0.6507476620138986,0.6699096036173602,4.335165119693155,0.005327424880734016,0.009874934070353447,0.023468730232360624,,0.5327424880734015,0.9874934070353438,2.34687302323606,,31.136367510071167,61.48756616953075,257.0858414459205,,5290.298305012048,11183.353668732521,29510.640672711397
trial_0012,trial_0012_bite_001_transfer,trial_0012_bite_001,transfer,B3,0,144,0,143,0.0,1.43,315,458,0.17434302824884007,0.434155200917084,0.6422902504267983,0.6606157112874778,4.600110954469239,0.005724836145801337,0.010529210751432316,0.026491451542193015,,0.5724836145801335,1.0529210751432307,2.649145154219299,,46.80904243015878,95.72741930346302,318.46948308075827,,8204.272494200102,17874.94172624773,36498.110382122824
trial_0012,trial_0012_bite_001_transfer,trial_0012_bite_001,transfer,StrongLocal,0,144,0,143,0.0,1.43,315,458,0.17415915291755546,0.4302745666099334,0.633940121883081,0.6521424612152609,4.6828026591384955,0.005797475577663717,0.010804881877007233,0.024293191372978914,,0.5797475577663717,1.0804881877007224,2.429319137297889,,51.95081986519854,112.391611459427,267.4857384120872,,9216.843613777375,19766.1179455947,42164.72205410448
trial_0012,trial_0012_bite_001_transfer,trial_0012_bite_001,transfer,H_star,0,144,0,143,0.0,1.43,315,458,0.1689841186895773,0.4247817319485631,0.6218760173869935,0.6456997663929362,5.087977000980162,0.006482415475331266,0.01250551515491338,0.03148512152201821,,0.6482415475331263,1.250551515491337,3.1485121522018185,,71.79777357756198,163.24975808298353,366.5394228028644,,12929.18945410631,29838.79440377636,58239.72216375835
trial_0012,trial_0012_bite_001_transfer,trial_0012_bite_001,transfer,HumanGT,0,144,0,143,0.0,1.43,315,458,0.1947813676097283,0.45987239001933056,0.6741045166227242,0.6932539402425677,4.478384649884788,0.0054488742150103015,0.010037479682343253,0.021359715198064677,,0.54488742150103,1.0037479682343244,2.135971519806466,,38.80348942185681,78.01575908831991,248.81406893900458,,6777.591469039086,14630.500283317335,32288.32954334129
trial_0012,trial_0012_bite_001_transfer,trial_0012_bite_001,transfer,RobotSmooth,0,144,0,143,0.0,1.43,315,458,0.21589708384199202,0.4841687268135022,0.7082436074365633,0.7266212204529312,4.4277175432991696,0.0053392141861988976,0.009566746514926283,0.016743331536146044,,0.5339214186198896,0.9566746514926274,1.6743331536146029,,29.038753875729576,60.03446331771351,153.07101295840982,,5039.635064339225,10146.818632075021,18419.411783226766
trial_0012,trial_0012_bite_001_withdrawal,trial_0012_bite_001,withdrawal,B0,0,102,0,101,0.0,1.01,547,648,0.3259060518722805,0.5620249348224665,0.8519610171328563,0.8871316571335051,5.704500618009451,0.00999039501972073,0.01837180942173279,0.025214909536032337,,0.9990395019720731,1.8371809421732774,2.5214909536032315,,25.459222862788696,55.344095362867876,148.61788000164884,,3731.356980050901,7813.179723265731,22007.092677904733
trial_0012,trial_0012_bite_001_withdrawal,trial_0012_bite_001,withdrawal,B1,0,102,0,101,0.0,1.01,547,648,0.3259060518722805,0.6067934031286337,0.8903950994111699,0.9275940917806382,5.6193842739972215,0.00985062793472178,0.01828369232944541,0.025232196482261493,,0.9850627934721781,1.8283692329445393,2.523219648226147,,25.840534800520413,55.61769848613987,149.90229532367815,,3790.6924499180864,7896.980347900976,22279.159472947398
trial_0012,trial_0012_bite_001_withdrawal,trial_0012_bite_001,withdrawal,B2,0,102,0,101,0.0,1.01,547,648,0.3259060518722805,0.6392854250083181,0.9071041577410737,0.946258669551618,5.492951742887401,0.009642556588975495,0.018002587842514912,0.025245133349815596,,0.9642556588975495,1.8002587842514899,2.5245133349815574,,25.853366010424107,54.26572229311724,144.61679465921557,,3794.847804559056,7931.3675072976,21229.060059705982
trial_0012,trial_0012_bite_001_withdrawal,trial_0012_bite_001,withdrawal,B3,0,102,0,101,0.0,1.01,547,648,0.3259060518722805,0.6509512703348534,0.9345747808417019,0.967552055390426,5.675147655532886,0.009892709031250715,0.018583755464082287,0.02526041638092824,,0.9892709031250714,1.858375546408227,2.526041638092822,,37.009967700021726,76.15858619646787,152.33231058776803,,6197.635192439236,12692.782508808103,24059.607371371272
trial_0012,trial_0012_bite_001_withdrawal,trial_0012_bite_001,withdrawal,StrongLocal,0,102,0,101,0.0,1.01,547,648,0.3259060518722805,0.6769583962585032,0.9624345910005949,0.9948274578472107,5.88817838705037,0.010212166883145508,0.018883005389701595,0.02520982399400218,,1.0212166883145506,1.888300538970165,2.5209823994002156,,50.050756100800825,111.61531727374084,201.23671919691316,,8672.381015031331,18255.218258791305,38024.256822382005
trial_0012,trial_0012_bite_001_withdrawal,trial_0012_bite_001,withdrawal,H_star,0,102,0,101,0.0,1.01,547,648,0.3259060518722805,0.6790878389864423,0.9607609218459957,0.99892139824704,6.030453426301122,0.010430632474698918,0.018994133447312843,0.03133848093719216,,1.0430632474698915,1.8994133447312824,3.1338480937192132,,67.84987632185721,160.52810909447524,337.6688017643571,,11948.160651306705,26319.37897514628,57043.73176521297
trial_0012,trial_0012_bite_001_withdrawal,trial_0012_bite_001,withdrawal,HumanGT,0,102,0,101,0.0,1.01,547,648,0.3259060518722805,0.6600705989826791,0.9524994349845125,0.9863954233869379,6.08850117770282,0.010410376179587453,0.018807742373739077,0.025245494579980488,,1.0410376179587453,1.880774237373906,2.5245494579980465,,31.14716945372899,63.63509742077421,151.94384218682328,,4771.475009978823,10373.699540146923,22408.604024106207
trial_0012,trial_0012_bite_001_withdrawal,trial_0012_bite_001,withdrawal,RobotSmooth,0,102,0,101,0.0,1.01,547,648,0.3259060518722805,0.5620249348224442,0.8519610171328411,0.8871316571335051,5.704500615776263,0.009990395018556798,0.01837180942172346,0.025214909535880455,,0.9990395018556798,1.8371809421723444,2.521490953588043,,25.459222716591395,55.34409536270978,148.61788172272546,,3731.3569491004105,7813.179723657062,22007.09277186513
