take,record_id,parent_bite_id,phase,strategy,previous_index,current_index,previous_motive_frame,current_motive_frame,max_wrapped_joint_step_rad,joint_index,psi_previous,psi_current,wrapped_delta_psi,tool_translation_step_m,tool_rotation_geodesic_step_rad,search_branch_previous,search_branch_current,branch_id_previous,branch_id_current,search_branch_changed,branch_id_changed,near_pi_jump,categories,primary_category
trial_0012,trial_0012_bite_006_transfer,trial_0012_bite_006,transfer,B3,140,141,8359,8360,1.310336487535786,4,-2.862567376684077,-2.8669547540593476,-0.004387377375270507,0.001336075297887848,0.0036375007042424206,5,7,r2r2r2r2r:slot=5:wrist_root=1,r2r2r2r2r:slot=7:wrist_root=0,True,True,False,SEARCH_BRANCH_CHANGE|BRANCH_ID_CHANGE,SEARCH_BRANCH_CHANGE
trial_0012,trial_0012_bite_006_transfer,trial_0012_bite_006,transfer,StrongLocal,111,112,8330,8331,1.7540758480309384,4,-2.8545959258370757,-2.849303651688237,0.005292274148838593,0.002075412409650873,0.0025125867764598285,7,4,cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:r2r2r2r2r:slot=7:wrist_root=0,r2r2r2r2r:slot=4:wrist_root=1,True,True,False,SEARCH_BRANCH_CHANGE|BRANCH_ID_CHANGE,SEARCH_BRANCH_CHANGE
trial_0012,trial_0012_bite_006_transfer,trial_0012_bite_006,transfer,StrongLocal,144,145,8363,8364,0.9862652129074208,4,-2.823461855529169,-2.8207841126521993,0.0026777428769695355,0.0010048325500490055,0.009672456637413653,7,7,r2r2r2r2r:slot=7:wrist_root=2,r2r2r2r2r:slot=7:wrist_root=0,False,True,False,BRANCH_ID_CHANGE,BRANCH_ID_CHANGE
trial_0012,trial_0012_bite_006_transfer,trial_0012_bite_006,transfer,H_star,111,112,8330,8331,1.8525045422277417,4,-2.8457754619123365,-2.837390035747395,0.008385426164941645,0.002075412409650873,0.0025125867764598285,7,4,cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:r2r2r2r2r:slot=7:wrist_root=0,r2r2r2r2r:slot=4:wrist_root=1,True,True,False,SEARCH_BRANCH_CHANGE|BRANCH_ID_CHANGE,SEARCH_BRANCH_CHANGE
trial_0012,trial_0012_bite_006_transfer,trial_0012_bite_006,transfer,H_star,140,141,8359,8360,1.3004577081699824,4,-2.8597522353887097,-2.8702490667747367,-0.010496831386026972,0.001336075297887848,0.0036375007042424206,5,7,r2r2r2r2r:slot=5:wrist_root=1,r2r2r2r2r:slot=7:wrist_root=0,True,True,False,SEARCH_BRANCH_CHANGE|BRANCH_ID_CHANGE,SEARCH_BRANCH_CHANGE
trial_0012,trial_0012_bite_006_transfer,trial_0012_bite_006,transfer,HumanGT,112,113,8331,8332,1.462223909789656,4,-2.952560167749038,-2.9562015421651635,-0.0036413744161256645,0.0021325191775515566,0.0049356475693733215,7,4,cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:r2r2r2r2r:slot=7:wrist_root=0,r2r2r2r2r:slot=4:wrist_root=1,True,True,False,SEARCH_BRANCH_CHANGE|BRANCH_ID_CHANGE,SEARCH_BRANCH_CHANGE
trial_0012,trial_0012_bite_006_transfer,trial_0012_bite_006,transfer,HumanGT,144,145,8363,8364,0.5857228529065659,4,-2.968732820532662,-2.968771328352049,-3.8507819386968116e-05,0.0010048325500490055,0.009672456637413653,7,7,r2r2r2r2r:slot=7:wrist_root=2,r2r2r2r2r:slot=7:wrist_root=0,False,True,False,BRANCH_ID_CHANGE,BRANCH_ID_CHANGE
trial_0012,trial_0012_bite_006_withdrawal,trial_0012_bite_006,withdrawal,B1,90,91,8508,8509,3.117324513617823,2,-3.0348222831022236,-3.0358009055167856,-0.000978622414562036,0.002089690323538413,0.01786756781965801,6,5,cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:r2r2r2r2r:slot=6:wrist_root=0,r2r2r2r2r:slot=5:wrist_root=0,True,True,True,SEARCH_BRANCH_CHANGE|BRANCH_ID_CHANGE,SEARCH_BRANCH_CHANGE
trial_0012,trial_0012_bite_006_withdrawal,trial_0012_bite_006,withdrawal,B3,47,48,8465,8466,3.120493181107355,2,-3.214419354773375,-3.226330431346121,-0.011911076572745927,0.009239930142883617,0.05225026072352706,6,7,r2r2r2r2r:slot=6:wrist_root=0,r2r2r2r2r:slot=7:wrist_root=0,True,True,True,SEARCH_BRANCH_CHANGE|BRANCH_ID_CHANGE,SEARCH_BRANCH_CHANGE
trial_0012,trial_0012_bite_006_withdrawal,trial_0012_bite_006,withdrawal,B3,50,51,8468,8469,3.106798927432556,4,-3.2595756064034003,-3.2727422442575094,-0.013166637854109098,0.009257169812487953,0.05471756270808137,7,6,r2r2r2r2r:slot=7:wrist_root=1,r2r2r2r2r:slot=6:wrist_root=0,True,True,True,SEARCH_BRANCH_CHANGE|BRANCH_ID_CHANGE,SEARCH_BRANCH_CHANGE
