record_id,parent_bite_id,take,phase,generator,tool_rms_position_error_m,tool_rms_orientation_error_rad,tool_final_position_error_m,tool_path_length_absolute_error_m,first_delta_correction_rad,generated_vs_measured_reference_delta_psi_rmse_rad,generated_vs_measured_reference_delta_psi_mae_rad,generated_vs_measured_reference_delta_psi_p95_rad,generated_vs_measured_reference_delta_psi_max_rad,end_to_end_coordination_deviation_rmse_rad,end_to_end_coordination_deviation_mae_rad,coordination_success,common_success_frames,end_to_end_q_rms_deviation_rad,end_to_end_elbow_mean_deviation_m,end_to_end_elbow_rms_deviation_m,end_to_end_arm_plane_mean_deviation_rad,generated_joint_travel_common_support_rad,measured_reference_joint_travel_common_support_rad,joint_travel_difference_rad,stronglocal_frame_success_rate,stronglocal_complete_trajectory_success,stronglocal_continuity_violations,stronglocal_complete_pipeline_success
trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,retrieval,0.0504103244413166,0.2003926236796887,0.0543523134899672,0.0590743614838701,0.06329862038950626,0.058616109744044596,0.05538035016944375,0.07803158493900482,0.08366406372414953,0.029465488460897988,0.024748840946871645,True,71,0.09560166499139017,0.05042342676682859,0.053637787341646384,0.09525926202542273,5.083792672693739,3.0195883129776613,2.0642043597160775,0.7029702970297029,False,0,False
trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,contextual_promp,0.0463935708330787,0.1720680644080474,0.0534839787040713,0.0228737686029339,0.06329862038950626,0.07099725360809304,0.06808734618718383,0.08965282644330906,0.09456929718145068,0.013463325521949086,0.01134730708809948,True,59,0.12508131997588,0.01883624922101178,0.025716664385265316,0.025287365637859414,4.253293784988285,2.413018173100089,1.8402756118881962,0.5841584158415841,False,0,False
trial_0012_bite_001_withdrawal,trial_0012_bite_001,trial_0012,withdrawal,retrieval,0.1223030847921654,0.7228048780250717,0.2789467522747936,0.0564945547617575,0.1438217505375632,0.08283793853132633,0.06444085294743233,0.17323625074133442,0.18227769081847017,0.12199306832455004,0.09515069777675701,True,101,0.4435176210536608,0.10454474507824567,0.13934405184064869,0.17313484870867715,6.860383253539339,5.748583846937589,1.11179940660175,1.0,True,0,True
trial_0012_bite_001_withdrawal,trial_0012_bite_001,trial_0012,withdrawal,contextual_promp,0.117141300229392,0.6908099259880068,0.2376509814674671,0.0919546637719213,0.1438217505375632,0.07437168310678599,0.054722973206589726,0.16335305231363062,0.16830476562124547,0.11356157433171678,0.08480802594896793,True,101,0.4694940404540265,0.08275804993945868,0.10624264085854486,0.14445797685060366,6.659772540260385,5.748583846937589,0.9111886933227957,1.0,True,0,True
trial_0012_bite_002_transfer,trial_0012_bite_002,trial_0012,transfer,retrieval,0.0918551278655298,0.3213794368114721,0.0367273901539031,0.0027992357453,0.012109597917868862,0.06637560372880473,0.060040477093355506,0.11790956337398337,0.12815389400965715,0.05757548573085751,0.05227781722862317,True,66,0.1833288708916016,0.06561417686747044,0.07457149794707665,0.11199654499327533,6.644176375073645,3.8934432758832678,2.750733099190377,0.6534653465346535,False,0,False
trial_0012_bite_002_transfer,trial_0012_bite_002,trial_0012,transfer,contextual_promp,0.0761719315908974,0.1644268888818362,0.0291125644140968,0.0417452804605782,0.012109597917868862,0.04014283778736582,0.034680027554420054,0.0670239147987664,0.07132077308894101,0.06340307170582948,0.05396966036837051,True,82,0.1140521754861667,0.05082759304169639,0.05936570409256058,0.08020087648460844,5.88522998901184,5.3020435472723095,0.5831864417395307,0.8118811881188119,False,0,False
trial_0012_bite_002_withdrawal,trial_0012_bite_002,trial_0012,withdrawal,retrieval,0.1404228250050888,0.6010155116981486,0.1379994835981747,0.0710284033514705,0.16976829558597284,0.22007598831183178,0.1865842815490133,0.348183158519964,0.3632122313089148,0.4085936878278099,0.34387507371399745,True,101,0.3641711748569068,0.1591062705254055,0.1823080326437267,0.21247195857066606,7.5687698409322355,7.884359395844232,-0.3155895549119965,1.0,True,0,True
trial_0012_bite_002_withdrawal,trial_0012_bite_002,trial_0012,withdrawal,contextual_promp,0.0783685664827163,0.1788315583864069,0.0725849162391558,0.0224807232397864,0.16976829558597284,0.05248588447924712,0.041904545999874684,0.09827716376002499,0.10876876655730294,0.24311220599570668,0.20137416174402747,True,101,0.20481703139340507,0.07363394478290823,0.07944967654832805,0.08261308978236159,6.850289140531867,7.884359395844232,-1.0340702553123648,1.0,True,0,True
trial_0012_bite_003_transfer,trial_0012_bite_003,trial_0012,transfer,retrieval,0.0425763514798717,0.1912962414135141,0.0377754894220987,0.019666081665756,0.008327527658813475,0.015034079703542924,0.0111797405691973,0.030884018727139098,0.04368760033366881,0.17371979968423884,0.15483930218408273,True,70,0.22826782750938976,0.055500983148781526,0.07045949000672576,0.0642761646334582,6.059945630790178,4.23029931635497,1.829646314435208,0.693069306930693,False,1,False
trial_0012_bite_003_transfer,trial_0012_bite_003,trial_0012,transfer,contextual_promp,0.0482409741695462,0.2328036989424129,0.0407610184403339,0.04888255218941,0.008327527658813475,0.0642909371129102,0.05859756199605596,0.08041352348210598,0.08419798540801873,0.11440924166818414,0.1047790802544998,True,79,0.1802642568259408,0.03686808348901828,0.04096406689324425,0.060781395793450495,6.024340894392202,4.728990780765505,1.2953501136266965,0.7821782178217822,False,0,False
