record_id,parent_bite_id,take,phase,g0_initial_source_index,g0_initial_motive_frame,initial_position_error_m,initial_orientation_error_rad,psi_valid_at_g0_initial_pose,psi0,eligibility_status
trial_0013_bite_005_withdrawal,trial_0013_bite_005,trial_0013,withdrawal,0,11991,0.0,0.0,True,-2.665836581937227,G1_ELIGIBLE
trial_0013_bite_006_transfer,trial_0013_bite_006,trial_0013,transfer,0,13993,0.0,0.0,True,-2.8035270046381817,G1_ELIGIBLE
trial_0013_bite_006_withdrawal,trial_0013_bite_006,trial_0013,withdrawal,0,14261,0.0,0.0,True,-2.593649098104729,G1_ELIGIBLE
trial_0013_bite_007_transfer,trial_0013_bite_007,trial_0013,transfer,0,16143,0.0,0.0,False,,NO_VALID_INITIAL_PSI
trial_0013_bite_007_withdrawal,trial_0013_bite_007,trial_0013,withdrawal,0,16335,0.0,0.0,True,-2.7000877460209995,G1_ELIGIBLE
trial_0013_bite_008_transfer,trial_0013_bite_008,trial_0013,transfer,0,18828,0.0,0.0,True,-2.747388997416543,G1_ELIGIBLE
trial_0013_bite_008_withdrawal,trial_0013_bite_008,trial_0013,withdrawal,0,19109,0.0,0.0,True,-2.6998159872286553,G1_ELIGIBLE
trial_0013_bite_009_transfer,trial_0013_bite_009,trial_0013,transfer,0,23425,0.0,0.0,True,-2.711271867018143,G1_ELIGIBLE
trial_0013_bite_009_withdrawal,trial_0013_bite_009,trial_0013,withdrawal,0,23692,0.0,0.0,True,-2.673481903617332,G1_ELIGIBLE
trial_0013_bite_010_transfer,trial_0013_bite_010,trial_0013,transfer,0,27014,0.0,0.0,True,-2.7704973523219727,G1_ELIGIBLE
trial_0013_bite_010_withdrawal,trial_0013_bite_010,trial_0013,withdrawal,0,27357,0.0,0.0,True,-2.7186479650759883,G1_ELIGIBLE
trial_0013_bite_011_transfer,trial_0013_bite_011,trial_0013,transfer,0,30483,0.0,0.0,True,-2.575383520219882,G1_ELIGIBLE
trial_0013_bite_011_withdrawal,trial_0013_bite_011,trial_0013,withdrawal,0,30714,0.0,0.0,True,-2.603304990801717,G1_ELIGIBLE
trial_0013_bite_012_transfer,trial_0013_bite_012,trial_0013,transfer,0,32947,0.0,0.0,True,-2.8432515536222556,G1_ELIGIBLE
trial_0013_bite_012_withdrawal,trial_0013_bite_012,trial_0013,withdrawal,0,33285,0.0,0.0,True,-2.6380653027206167,G1_ELIGIBLE
trial_0014_bite_001_transfer,trial_0014_bite_001,trial_0014,transfer,0,405,0.0,0.0,True,-3.0561683453654713,G1_ELIGIBLE
trial_0014_bite_001_withdrawal,trial_0014_bite_001,trial_0014,withdrawal,0,665,0.0,0.0,True,-2.8529784962180584,G1_ELIGIBLE
