outer_held_take,model,alpha,inner_bite_circular_rmse,selected_local,star_alphas
trial_0014,L0_kinematic,0.01,0.12413606855629256,,
trial_0014,L0_kinematic,0.001,0.12415238331791156,,
trial_0014,L1_temporal,0.01,0.12427365357106973,,
trial_0014,L1_temporal,0.001,0.12429200886297327,,
trial_0014,SELECTED,1.0,0.11291534807733733,L3_temporal_plate,"{'StrongLocal_star': 1.0, 'H_star': 10.0, 'F_star': 10.0, 'P_star': 10.0}"
trial_0015,L3_temporal_plate,1.0,0.11007587576932701,,
trial_0015,L3_temporal_plate,0.1,0.11023111250052384,,
trial_0015,L3_temporal_plate,0.01,0.11029932270950875,,
trial_0015,L3_temporal_plate,0.001,0.1103069997040572,,
trial_0015,L3_temporal_plate,10.0,0.11389348168940072,,
trial_0015,L0_kinematic,1.0,0.11600367079532148,,
trial_0015,L0_kinematic,0.1,0.11631052001129938,,
trial_0015,L0_kinematic,0.01,0.11637147586653258,,
trial_0015,L0_kinematic,0.001,0.11637803348827011,,
trial_0015,L1_temporal,1.0,0.1167708553444139,,
trial_0015,L0_kinematic,10.0,0.11712939101682972,,
trial_0015,L1_temporal,0.1,0.11715611683251605,,
trial_0015,L1_temporal,0.01,0.11722851960458942,,
trial_0015,L1_temporal,0.001,0.11723628250241368,,
trial_0015,L1_temporal,10.0,0.11749128692188095,,
trial_0015,L1_temporal,100.0,0.12257596738777314,,
trial_0015,L3_temporal_plate,100.0,0.12351923133458548,,
trial_0015,L0_kinematic,100.0,0.12397546493267318,,
trial_0015,L4_current_m3,100.0,0.15186565086301476,,
trial_0015,L2_temporal_psi0,100.0,0.15201821444292404,,
trial_0015,L4_current_m3,0.001,0.15266868959385177,,
trial_0015,L4_current_m3,0.01,0.1526829545380738,,
trial_0015,L4_current_m3,0.1,0.15283249081468597,,
trial_0015,L4_current_m3,1.0,0.1546854021226971,,
trial_0015,L4_current_m3,10.0,0.16633354450786983,,
trial_0015,L2_temporal_psi0,0.001,0.1713715893513625,,
trial_0015,L2_temporal_psi0,0.01,0.17139819792002084,,
trial_0015,L2_temporal_psi0,0.1,0.17165926371297036,,
trial_0015,L2_temporal_psi0,1.0,0.17381386248769654,,
trial_0015,L2_temporal_psi0,10.0,0.17785684398755378,,
trial_0015,SELECTED,1.0,0.11007587576932701,L3_temporal_plate,"{'StrongLocal_star': 1.0, 'H_star': 0.1, 'F_star': 1.0, 'P_star': 1.0}"
trial_0017,L3_temporal_plate,10.0,0.11289796754627533,,
trial_0017,L3_temporal_plate,1.0,0.11316958948649868,,
trial_0017,L3_temporal_plate,0.1,0.11471863879568768,,
trial_0017,L3_temporal_plate,0.01,0.11496112596529134,,
trial_0017,L3_temporal_plate,0.001,0.1149866217769149,,
trial_0017,L0_kinematic,10.0,0.11652392838636944,,
trial_0017,L1_temporal,10.0,0.11656462683717245,,
trial_0017,L1_temporal,100.0,0.11851913028876647,,
trial_0017,L3_temporal_plate,100.0,0.1198702078954144,,
trial_0017,L0_kinematic,1.0,0.12008786333264741,,
trial_0017,L0_kinematic,100.0,0.12020597871747823,,
trial_0017,L1_temporal,1.0,0.12119765966493058,,
trial_0017,L0_kinematic,0.1,0.12140926674449758,,
trial_0017,L0_kinematic,0.01,0.12157426004376468,,
trial_0017,L0_kinematic,0.001,0.12159117266551131,,
trial_0017,L1_temporal,0.1,0.12279667954361735,,
trial_0017,L1_temporal,0.01,0.1229957005423878,,
trial_0017,L1_temporal,0.001,0.12301609747572821,,
trial_0017,L4_current_m3,100.0,0.19164587041249972,,
trial_0017,L2_temporal_psi0,100.0,0.192588474390273,,
trial_0017,L4_current_m3,10.0,0.276499989562614,,
trial_0017,L2_temporal_psi0,10.0,0.290272992446001,,
trial_0017,L4_current_m3,1.0,0.3008866368251042,,
trial_0017,L4_current_m3,0.1,0.30976904866514776,,
trial_0017,L4_current_m3,0.01,0.310996578269758,,
trial_0017,L4_current_m3,0.001,0.3111239972784095,,
trial_0017,L2_temporal_psi0,1.0,0.3184184307202982,,
trial_0017,L2_temporal_psi0,0.1,0.32223767472653364,,
trial_0017,L2_temporal_psi0,0.01,0.3226442790351095,,
trial_0017,L2_temporal_psi0,0.001,0.3226852370780493,,
trial_0017,SELECTED,10.0,0.11289796754627533,L3_temporal_plate,"{'StrongLocal_star': 10.0, 'H_star': 1.0, 'F_star': 10.0, 'P_star': 10.0}"
trial_0019,L3_temporal_plate,10.0,0.11722088327229455,,
trial_0019,L3_temporal_plate,1.0,0.1189529013646335,,
trial_0019,L3_temporal_plate,0.1,0.12109727360978947,,
