model,grouping,group,n_frames,n_bites,circular_rmse,circular_mae,delta_rmse,psi_dot_rmse,frame_circular_rmse,frame_circular_mae
L4_current_m3,take,trial_0017,3846,15,0.11644035484933289,0.09579561269348455,0.11572911662668674,0.41566677113354916,0.11572911662668674,0.09437735992049805
L4_current_m3,take,trial_0019,6491,26,0.1027092591703248,0.08141595786150489,0.10295974661386817,0.4462760830955856,0.10295974661386817,0.08143988919857946
L4_current_m3,take,trial_0020,4567,19,0.16615273078950765,0.11939249932603244,0.1572622500378612,0.46014911131093317,0.1572622500378612,0.11170330527384108
M2_pose_velocity,overall,overall,32216,127,0.11740000790132381,0.08459900614442521,0.11518972757635078,0.4281893400136064,0.11518972757635078,0.08241899326224898
M2_pose_velocity,phase,transfer,18107,125,0.09114574542347643,0.07105494288729955,0.08897217263994218,0.29797667646980597,0.08897217263994218,0.06871935607652696
M2_pose_velocity,phase,withdrawal,14109,127,0.1415994849323722,0.10033391763741804,0.14190858752500604,0.5523691746671151,0.14190858752500604,0.1000006312608221
M2_pose_velocity,take,trial_0012,4327,15,0.13773996619795634,0.1010420461040581,0.13455682237891847,0.45757894970636315,0.13455682237891847,0.09783743703121123
M2_pose_velocity,take,trial_0013,2756,12,0.08659217551437813,0.06055856275808775,0.08491826964716269,0.4229739117252149,0.08491826964716269,0.058749923145780064
M2_pose_velocity,take,trial_0014,4670,21,0.10166901512819244,0.07770209338050324,0.10142819723868515,0.4017458087760007,0.10142819723868515,0.07750770706588773
M2_pose_velocity,take,trial_0015,5559,19,0.11967429904131036,0.08214379871832893,0.11763860361012878,0.2786043182139429,0.11763860361012878,0.08006324820608812
M2_pose_velocity,take,trial_0017,3846,15,0.12448119410128163,0.09789099194262464,0.12046478553346418,0.3436372855706961,0.12046478553346418,0.09345431134481834
M2_pose_velocity,take,trial_0019,6491,26,0.10084868997343835,0.07529404009405233,0.10038092851333344,0.5039033994629615,0.10038092851333343,0.0746185523740634
M2_pose_velocity,take,trial_0020,4567,19,0.1432328270484251,0.09911864618213322,0.13485575282271922,0.5166911459106681,0.1348557528227192,0.09177709985663138
M3_strong_local,overall,overall,32216,127,0.16523526519678677,0.10405925359548819,0.15727291413203673,0.44935997513770193,0.15727291413203673,0.09996927016417102
M3_strong_local,phase,transfer,18107,125,0.1813241341871385,0.10517212620567776,0.17121299692529754,0.3548297689893649,0.17121299692529754,0.09927839182268867
M3_strong_local,phase,withdrawal,14109,127,0.13721007752236472,0.10069470541456889,0.13732474327326685,0.547558495052881,0.13732474327326685,0.10085591940431712
M3_strong_local,take,trial_0012,4327,15,0.11350817949422061,0.08491140228410772,0.11149158750016798,0.6105889953403065,0.11149158750016798,0.08294283904233934
M3_strong_local,take,trial_0013,2756,12,0.08944413601292754,0.0653747462904709,0.08817956964699722,0.49417250427410997,0.08817956964699722,0.06443386722839282
M3_strong_local,take,trial_0014,4670,21,0.3058693699090255,0.18097452262258437,0.30245031855276705,0.39302903219413565,0.30245031855276705,0.1792264000915074
M3_strong_local,take,trial_0015,5559,19,0.10546080516966296,0.08077292946365544,0.10490548208331542,0.3209694984628871,0.10490548208331542,0.08012208568737096
M3_strong_local,take,trial_0017,3846,15,0.11644035484933288,0.09579561269348451,0.1157291166266867,0.41566677113354916,0.1157291166266867,0.09437735992049802
M3_strong_local,take,trial_0019,6491,26,0.10270925917032475,0.08141595786150485,0.10295974661386813,0.44627608309558603,0.10295974661386813,0.08143988919857942
M3_strong_local,take,trial_0020,4567,19,0.16615273078950762,0.11939249932603242,0.1572622500378612,0.46014911131093345,0.1572622500378612,0.11170330527384104
M4_history,overall,overall,32216,127,0.1631864088823691,0.10173622545933567,0.15552109736164682,0.4883419279671267,0.15552109736164682,0.09753984323182581
M4_history,phase,transfer,18107,125,0.17741801955858505,0.10197947724292428,0.16762605339446685,0.39615155495645193,0.16762605339446685,0.09640048150622195
M4_history,phase,withdrawal,14109,127,0.1388026939825053,0.09953304175726277,0.13844383336397614,0.5860752612022578,0.13844383336397614,0.0990020604524303
M4_history,take,trial_0012,4327,15,0.13070456300948774,0.09471402113818608,0.12810990916008413,0.6845990536857343,0.12810990916008413,0.09203749211627056
M4_history,take,trial_0013,2756,12,0.08585925074724089,0.060414491623594184,0.08389094722981007,0.5273612704803573,0.08389094722981007,0.058580132109360666
M4_history,take,trial_0014,4670,21,0.29877163239146276,0.17622707787981787,0.29565086725945,0.492169630514105,0.29565086725945,0.17481554764852325
M4_history,take,trial_0015,5559,19,0.10209546305711001,0.07583240189002025,0.10138474918590261,0.3254346968560422,0.10138474918590261,0.07511770094141787
