model,parent_bite_id,take,phase,circular_mae,circular_rmse,n_frames
F_star,trial_0014_bite_004,trial_0014,transfer,0.07806386844937231,0.09208242192561536,112
F_star,trial_0014_bite_004,trial_0014,withdrawal,0.05038355815732029,0.06583149594203107,95
F_star,trial_0014_bite_005,trial_0014,transfer,0.13432669630287217,0.15841041988418642,124
F_star,trial_0014_bite_005,trial_0014,withdrawal,0.0526111970048163,0.07059369765682182,62
F_star,trial_0014_bite_006,trial_0014,transfer,0.0722979129816034,0.0887401464872298,91
F_star,trial_0014_bite_006,trial_0014,withdrawal,0.09055597280682108,0.11452319981836565,81
F_star,trial_0014_bite_007,trial_0014,transfer,0.06094733297516677,0.07493370907974135,111
F_star,trial_0014_bite_007,trial_0014,withdrawal,0.03390392950762571,0.04545728584175627,86
F_star,trial_0014_bite_008,trial_0014,transfer,0.06853093898489428,0.0846905428481679,94
F_star,trial_0014_bite_008,trial_0014,withdrawal,0.049155972990519624,0.05504910479210678,74
F_star,trial_0014_bite_009,trial_0014,transfer,0.05913279029489088,0.07442097688157945,114
F_star,trial_0014_bite_009,trial_0014,withdrawal,0.018695249509390506,0.020122325191938954,52
F_star,trial_0014_bite_010,trial_0014,transfer,0.11176537350683387,0.13158547557964423,124
F_star,trial_0014_bite_010,trial_0014,withdrawal,0.057954413196316557,0.07550941447605918,77
F_star,trial_0014_bite_011,trial_0014,transfer,0.08778862571473599,0.10608300099691692,131
F_star,trial_0014_bite_011,trial_0014,withdrawal,0.026688376854244262,0.03393154705717329,81
F_star,trial_0014_bite_012,trial_0014,transfer,0.15792433846081716,0.1866568415231898,103
F_star,trial_0014_bite_012,trial_0014,withdrawal,0.08040257100553459,0.09484109103125674,104
F_star,trial_0014_bite_013,trial_0014,transfer,0.14235419456110107,0.1655146291303189,108
F_star,trial_0014_bite_013,trial_0014,withdrawal,0.0644757406063779,0.07167758431138675,115
F_star,trial_0014_bite_014,trial_0014,transfer,0.15648788395084576,0.17100293850795062,129
F_star,trial_0014_bite_014,trial_0014,withdrawal,0.02320557051699087,0.026326913969462545,106
F_star,trial_0014_bite_015,trial_0014,transfer,0.11035371388441124,0.13112787269455647,130
F_star,trial_0014_bite_015,trial_0014,withdrawal,0.1034953352081284,0.11711018780692252,106
F_star,trial_0014_bite_016,trial_0014,transfer,0.13635436233216414,0.14674136604338744,137
F_star,trial_0014_bite_016,trial_0014,withdrawal,0.06019752710565464,0.07045476137874285,94
F_star,trial_0014_bite_017,trial_0014,transfer,0.07006071195349162,0.08110144398552205,121
F_star,trial_0014_bite_017,trial_0014,withdrawal,0.04179811155427492,0.050378090772989235,99
F_star,trial_0014_bite_018,trial_0014,transfer,0.0933347267776797,0.11028740783926251,156
F_star,trial_0014_bite_018,trial_0014,withdrawal,0.046744969011878676,0.055490129126658405,86
F_star,trial_0014_bite_019,trial_0014,transfer,0.026508162682278562,0.03169811622906929,127
F_star,trial_0014_bite_019,trial_0014,withdrawal,0.0990196776922104,0.10991841981487784,104
F_star,trial_0014_bite_020,trial_0014,transfer,0.13179071342692536,0.13961833927564196,157
F_star,trial_0014_bite_020,trial_0014,withdrawal,0.07420414709661585,0.08152391648223684,104
F_star,trial_0014_bite_021,trial_0014,transfer,0.043321839676262956,0.05166852611478448,205
F_star,trial_0014_bite_021,trial_0014,withdrawal,0.10652322928023382,0.12479593142852001,99
F_star,trial_0015_bite_001,trial_0015,transfer,0.0316302065005828,0.03552075615632316,145
F_star,trial_0015_bite_001,trial_0015,withdrawal,0.14626657797040646,0.1585746642634351,149
F_star,trial_0015_bite_002,trial_0015,transfer,0.03914629844557553,0.04659437144905577,108
F_star,trial_0015_bite_002,trial_0015,withdrawal,0.1790517918296664,0.21011645252509692,129
F_star,trial_0015_bite_003,trial_0015,transfer,0.05085558322807021,0.052654703366908744,154
F_star,trial_0015_bite_003,trial_0015,withdrawal,0.10424516250091095,0.12578473662486028,153
F_star,trial_0015_bite_004,trial_0015,transfer,0.03017777254818996,0.03370518961499589,145
F_star,trial_0015_bite_004,trial_0015,withdrawal,0.10541632537105008,0.12420985472441358,136
F_star,trial_0015_bite_005,trial_0015,transfer,0.03860507008345049,0.05111058888854692,122
F_star,trial_0015_bite_005,trial_0015,withdrawal,0.1983062220793708,0.2223538571083853,163
F_star,trial_0015_bite_006,trial_0015,transfer,0.09655906508705718,0.11926020556297377,122
F_star,trial_0015_bite_006,trial_0015,withdrawal,0.11087711225164844,0.13559537927302823,146
F_star,trial_0015_bite_007,trial_0015,transfer,0.02331782460866216,0.027648650483157903,127
F_star,trial_0015_bite_007,trial_0015,withdrawal,0.0526088972356167,0.05954413306846063,144
F_star,trial_0015_bite_008,trial_0015,transfer,0.03219344562599347,0.03811104791752447,169
