status_D,quantity,count,mean,median,p95,max
JOINT_LIMIT,joint1_to_old_wrist_m,964,0.49059009690015803,0.4867598131956451,0.5389386921549514,0.5570877760885831
JOINT_LIMIT,joint1_to_fork_m,964,0.5416512638330899,0.5455545260903869,0.5734495120687044,0.6058773801234755
JOINT_LIMIT,old_wrist_to_fork_m,964,0.1317629480338821,0.13172320387972047,0.1367056751151269,0.13856792886880076
NO_VALID_BRANCH,joint1_to_old_wrist_m,2290,0.5643369069830606,0.5687606134928207,0.6222302336099641,0.6433043062088034
NO_VALID_BRANCH,joint1_to_fork_m,2290,0.651161104115803,0.6614202623935891,0.7168484722472563,0.7239290855850908
NO_VALID_BRANCH,old_wrist_to_fork_m,2290,0.12565060239243245,0.12660283978938924,0.1368915309706942,0.14040123374429472
SUCCESS_EXACT,joint1_to_old_wrist_m,1073,0.4446665577981085,0.43995136981119215,0.5006427738386573,0.5212529360155099
SUCCESS_EXACT,joint1_to_fork_m,1073,0.47836013784171966,0.4593559143448334,0.5798308865155745,0.600292206398384
SUCCESS_EXACT,old_wrist_to_fork_m,1073,0.13365127984701897,0.13575100801448953,0.14584527261989885,0.14727108999734967
