comparison,phase,metric,difference_a_minus_b,ci_low,ci_high,support_bites,status
StrongLocal-B0,transfer,difference_psi_mae_a_minus_b,-0.0398432968043448,-0.05026279428675311,-0.02884960167091972,125,OK
StrongLocal-B0,transfer,difference_elbow_mean_a_minus_b,-0.00906633463830149,-0.011457969326061667,-0.006551222946813572,125,OK
StrongLocal-B0,withdrawal,difference_travel_a_minus_b,-0.0010556340581110374,-0.05586527617037679,0.05467073657189636,127,OK
StrongLocal-B0,withdrawal,difference_rms_velocity_a_minus_b,-0.009490091519186214,-0.02347725154779202,0.007247226663825619,127,OK
StrongLocal-B0,withdrawal,difference_rms_acceleration_a_minus_b,10.998608546739838,9.044404673850766,13.230706261073179,127,OK
StrongLocal-B0,withdrawal,difference_rms_jerk_a_minus_b,2151.084484964774,1774.3849868928664,2548.4228488919393,127,OK
StrongLocal-B0,withdrawal,difference_min_margin_a_minus_b,0.083830135023937,0.07165035585049964,0.09705357470323868,127,OK
StrongLocal-B0,withdrawal,difference_min_jp_sigma_a_minus_b,0.00313871274970887,0.002349247098364251,0.003990146764281077,127,OK
StrongLocal-B0,withdrawal,difference_min_jr_sigma_a_minus_b,-0.0005373763400712963,-0.002733545826528834,0.001535642775447649,127,OK
StrongLocal-B0,withdrawal,difference_violations_a_minus_b,-0.07874015748031496,-0.1968503937007874,0.031692913385825694,127,OK
StrongLocal-B0,withdrawal,difference_psi_mae_a_minus_b,-0.0641815292197297,-0.07800058813265255,-0.04993313743786267,127,OK
StrongLocal-B0,withdrawal,difference_elbow_mean_a_minus_b,-0.019211600051692583,-0.02351943173824147,-0.014847244213851885,127,OK
StrongLocal-B2,overall,difference_travel_a_minus_b,0.19488930616523417,0.17142210758078066,0.21882278428145663,127,OK
StrongLocal-B2,overall,difference_rms_velocity_a_minus_b,0.024986758323116868,0.016269434911265524,0.033642014714920766,127,OK
StrongLocal-B2,overall,difference_rms_acceleration_a_minus_b,9.005897488821041,7.453135425855696,10.701791934244005,127,OK
StrongLocal-B2,overall,difference_rms_jerk_a_minus_b,1822.02562125189,1530.4884877713425,2148.1518709046486,127,OK
StrongLocal-B2,overall,difference_min_margin_a_minus_b,0.0014193814510306193,-0.0004254630884849028,0.0034352156717828214,127,OK
StrongLocal-B2,overall,difference_min_jp_sigma_a_minus_b,0.00029895428617809667,0.00017902348610634422,0.0004123174235179208,127,OK
StrongLocal-B2,overall,difference_min_jr_sigma_a_minus_b,-0.002193872157668977,-0.0030195923716262742,-0.001242790806022735,127,OK
StrongLocal-B2,overall,difference_violations_a_minus_b,0.01968503937007874,-0.011811023622047244,0.05511811023622047,127,OK
StrongLocal-B2,overall,difference_psi_mae_a_minus_b,0.0014411193951995947,-0.001116058249863063,0.00410069329544855,127,OK
StrongLocal-B2,overall,difference_elbow_mean_a_minus_b,0.00020547643530308666,-0.0005011373065234016,0.0009561405743151056,127,OK
StrongLocal-B2,transfer,difference_travel_a_minus_b,0.15954071070397266,0.13469060174650377,0.18475488222087907,127,OK
StrongLocal-B2,transfer,difference_rms_velocity_a_minus_b,0.012957137102303054,-0.004031246701216733,0.03049236209054874,125,OK
StrongLocal-B2,transfer,difference_rms_acceleration_a_minus_b,7.763334923518292,5.579893263089418,9.964516201397466,125,OK
StrongLocal-B2,transfer,difference_rms_jerk_a_minus_b,1574.303967465424,1236.2923843160302,1979.3004558675211,125,OK
StrongLocal-B2,transfer,difference_min_margin_a_minus_b,-0.0017759905724639537,-0.003631432674498273,0.00011102539839294902,125,OK
StrongLocal-B2,transfer,difference_min_jp_sigma_a_minus_b,0.000614898028982312,0.00044667672755305796,0.0007942550756108289,125,OK
StrongLocal-B2,transfer,difference_min_jr_sigma_a_minus_b,-0.0035946585505999646,-0.0048272665208646814,-0.0019618319664696827,125,OK
StrongLocal-B2,transfer,difference_violations_a_minus_b,0.015748031496062992,-0.023622047244094488,0.05511811023622047,127,OK
StrongLocal-B2,transfer,difference_psi_mae_a_minus_b,0.003638351373083432,0.0009549946517234137,0.006449018499771452,125,OK
StrongLocal-B2,transfer,difference_elbow_mean_a_minus_b,0.0005379631813583357,-8.00358128884652e-05,0.0011677311309677123,125,OK
StrongLocal-B2,withdrawal,difference_travel_a_minus_b,0.23023790162649574,0.19411541828998058,0.26581003503960454,127,OK
StrongLocal-B2,withdrawal,difference_rms_velocity_a_minus_b,0.03639422064491495,0.030847489646438745,0.04221383531599915,127,OK
StrongLocal-B2,withdrawal,difference_rms_acceleration_a_minus_b,10.057143769511564,8.438984052944427,11.82588582002591,127,OK
StrongLocal-B2,withdrawal,difference_rms_jerk_a_minus_b,2031.5335678446086,1693.4949348177167,2407.437532564873,127,OK
StrongLocal-B2,withdrawal,difference_min_margin_a_minus_b,0.004548379399243264,0.0011651076623896714,0.008043296450583602,127,OK
StrongLocal-B2,withdrawal,difference_min_jp_sigma_a_minus_b,-1.0036604512293035e-05,-0.00017309730398592908,0.00014511934589243807,127,OK
StrongLocal-B2,withdrawal,difference_min_jr_sigma_a_minus_b,-0.0008570661879346529,-0.0017653758388496493,0.0001552563968828886,127,OK
StrongLocal-B2,withdrawal,difference_violations_a_minus_b,0.023622047244094488,-0.007874015748031496,0.07086614173228346,127,OK
StrongLocal-B2,withdrawal,difference_psi_mae_a_minus_b,-0.0005106619287167186,-0.004713393728069734,0.0036311985641083798,127,OK
StrongLocal-B2,withdrawal,difference_elbow_mean_a_minus_b,-6.0350133379390564e-05,-0.0012945848018890273,0.0011303179453586315,127,OK
StrongLocal-B3,overall,difference_travel_a_minus_b,-0.016809401174538083,-0.040918895891739755,0.00797531977926894,127,OK
StrongLocal-B3,overall,difference_rms_velocity_a_minus_b,-0.001578735405038275,-0.009775156703753944,0.007117193798890407,127,OK
StrongLocal-B3,overall,difference_rms_acceleration_a_minus_b,0.3832402381923021,-1.1457886954686793,2.001629888320925,127,OK
StrongLocal-B3,overall,difference_rms_jerk_a_minus_b,171.38287604525405,-115.51501314432554,473.1468307979432,127,OK
StrongLocal-B3,overall,difference_min_margin_a_minus_b,0.007911038216267813,0.006541019060817294,0.009349746739741361,127,OK
StrongLocal-B3,overall,difference_min_jp_sigma_a_minus_b,0.00037912078395834745,0.00025704193187013694,0.0004962314482739814,127,OK
StrongLocal-B3,overall,difference_min_jr_sigma_a_minus_b,-0.0012647966907039531,-0.0019627198831902756,-0.00043967920816105735,127,OK
StrongLocal-B3,overall,difference_violations_a_minus_b,0.007874015748031496,-0.027559055118110236,0.04330708661417323,127,OK
StrongLocal-B3,overall,difference_psi_mae_a_minus_b,0.001825475541730716,-0.00041498323502513993,0.0041111712425465794,127,OK
StrongLocal-B3,overall,difference_elbow_mean_a_minus_b,0.00030449833998791526,-0.00029378825603411905,0.0009165228927601039,127,OK
StrongLocal-B3,transfer,difference_travel_a_minus_b,0.0051135385955929855,-0.019727318803843166,0.030574288176340954,127,OK
StrongLocal-B3,transfer,difference_rms_velocity_a_minus_b,0.0007190667379260152,-0.012953346725484283,0.014449671946499031,125,OK
StrongLocal-B3,transfer,difference_rms_acceleration_a_minus_b,0.6155046002728679,-1.2487874015312705,2.7337746700630805,125,OK
StrongLocal-B3,transfer,difference_rms_jerk_a_minus_b,201.1414673262981,-115.53027941814054,549.7962259683433,125,OK
StrongLocal-B3,transfer,difference_min_margin_a_minus_b,0.00556715038714578,0.004290876526977996,0.006963653659500781,125,OK
StrongLocal-B3,transfer,difference_min_jp_sigma_a_minus_b,0.00040498570732321526,0.00023841500682006924,0.0005670017549059846,125,OK
StrongLocal-B3,transfer,difference_min_jr_sigma_a_minus_b,-0.0026556934526598647,-0.0037307352893278752,-0.0011096736618116778,125,OK
StrongLocal-B3,transfer,difference_violations_a_minus_b,0.023622047244094488,-0.015748031496062992,0.06299212598425197,127,OK
StrongLocal-B3,transfer,difference_psi_mae_a_minus_b,0.0031929039390289917,0.0006650334008678726,0.0057433075936964536,125,OK
StrongLocal-B3,transfer,difference_elbow_mean_a_minus_b,0.00042032084999741817,-0.00016759862992040284,0.0010123284758840991,125,OK
StrongLocal-B3,withdrawal,difference_travel_a_minus_b,-0.03873234094466916,-0.06718743794716692,-0.01029599961264643,127,OK
StrongLocal-B3,withdrawal,difference_rms_velocity_a_minus_b,-0.0038108337746187233,-0.0095141831386679,0.0015742999889917398,127,OK
StrongLocal-B3,withdrawal,difference_rms_acceleration_a_minus_b,0.09193626333021135,-1.7039069050877238,1.8015074652507717,127,OK
