take,strategy,travel,rms_velocity,rms_acceleration,rms_jerk,margin_min,jp_sigma_min,jr_sigma_min,violations,support_bites,support_success_frames
trial_0012,B0,7.050701809250589,1.5080585317956363,67.65921599861001,9161.057957752762,0.17467763015122506,0.1798452226312722,1.2166263371208867,0.23333333333333334,15,3542
trial_0012,B1,7.213035239950477,1.481571681836503,63.4383828023896,8262.797758192848,0.19022829052111673,0.18227362922359866,1.2084344882304086,0.13333333333333333,15,3581
trial_0012,B2,7.283352904286344,1.4831253084262028,63.52904740575189,8331.006546017936,0.17791359667821507,0.17574698048173262,1.2352495137346338,0.5,15,3765
trial_0012,B3,7.489173658864033,1.5032258610051605,71.82300742749653,10022.239623066209,0.1792532304124252,0.1758028189415513,1.2337408251896378,0.6,15,3766
trial_0012,H_star,7.8912243102404505,1.5208172419041863,94.89232876435459,15062.26446747863,0.18044966193188947,0.17607950460722527,1.233830103428526,0.4666666666666667,15,3763
trial_0012,HumanGT,7.25786962029184,1.5465626518052469,73.09080838155532,9373.447874196478,0.1738721127462563,0.17739827006491177,1.22393700828307,0.3,15,3670
trial_0012,RobotSmooth,5.823599130658931,1.1474103623778193,64.46548923110501,9773.864228607137,0.22500291231801983,0.18538413004171822,1.225805089107275,0.03333333333333333,15,3334
trial_0012,StrongLocal,7.626807882714283,1.4581673219877505,81.28267725024249,12827.650360106012,0.17952282489816826,0.17560722202497384,1.2357571325435637,0.6,15,3764
trial_0013,B0,4.798381742464519,0.9834223572943023,37.629540398650335,5475.116791225526,0.35269392431000673,0.20874086856519733,1.3435160324386148,0.08333333333333333,12,2660
trial_0013,B1,4.8327614795469875,1.0125995867971056,42.22203248772377,5857.775529256094,0.3708224183288415,0.21030988379703916,1.3373632181546935,0.125,12,2665
trial_0013,B2,4.56588387493702,0.9815727551882927,39.682124629015256,5655.060326243119,0.3897121472314004,0.20793753238204873,1.3486736793792204,0.125,12,2653
trial_0013,B3,4.791774279030644,0.993626181007933,49.52230701436856,7680.335728788625,0.3806977450307171,0.20781153915623932,1.3485492610791328,0.125,12,2653
trial_0013,H_star,4.8812371133646835,1.0290354485032784,56.64972992463414,8787.812227865228,0.3876328729208776,0.20865487687039697,1.3473929444847694,0.08333333333333333,12,2655
trial_0013,HumanGT,4.673449861616607,0.9517519593597813,39.7487102073936,6029.360105721119,0.39900580991351564,0.20903048195722526,1.3440218241894621,0.125,12,2650
trial_0013,RobotSmooth,4.975136316889658,0.9919334697913874,52.52965752853725,8431.234056126164,0.36423649634882577,0.20918176421682966,1.3444558343615116,0.041666666666666664,12,2703
trial_0013,StrongLocal,4.7733752723397345,1.001913515181829,46.653286991380305,7075.949561797112,0.38710239641274463,0.20823834234356242,1.3475603234890576,0.125,12,2656
trial_0014,B0,4.969703854192506,0.9906221971108218,23.098789114671547,3190.9959995448244,0.46150736056035835,0.2517174065706986,1.2489620714460825,0.023809523809523808,21,4653
trial_0014,B1,5.14287887560112,1.0115500892893043,23.314406173978192,3274.6152393659045,0.49279769628931985,0.25450101152181837,1.2296397469515599,0.07142857142857142,21,4658
trial_0014,B2,4.742204202339922,0.9553086440207152,23.294959925210765,3118.4481525811707,0.5218483946338117,0.2546729238525016,1.2722417564696815,0.023809523809523808,21,4649
trial_0014,B3,4.954744029607757,0.9896394614651488,32.959587679607644,4866.511236682333,0.5175860633590766,0.2546030128044955,1.2715120331185963,0.023809523809523808,21,4649
trial_0014,H_star,5.051503891140643,1.0039614405595767,44.365941315779544,7181.802465912341,0.5253978159937804,0.2552496742562055,1.2680810210277405,0.023809523809523808,21,4649
trial_0014,HumanGT,4.604203870411158,0.9289600050982122,24.192494567798008,3410.552879770641,0.5041381218906308,0.2520936762070748,1.2868935334281812,0.023809523809523808,21,4648
trial_0014,RobotSmooth,5.023189251901324,1.008614287024739,31.26732596720788,4766.090423160798,0.4699925053769153,0.2521996186642018,1.2504086615030399,0.0,21,4663
trial_0014,StrongLocal,4.9651261277517245,0.9893672442904913,35.88475260340197,5650.180524129533,0.5287585938058756,0.25553917069184723,1.2674490955645685,0.047619047619047616,21,4650
trial_0015,B0,4.414432623882209,0.6727764756094138,26.510636020527745,3586.0918378266183,0.5219968768574197,0.2146718675259228,1.3589038545481629,0.07894736842105263,19,5360
trial_0015,B1,4.46638395938178,0.6731741267137217,26.75946825422816,3642.9882443548245,0.5593006730940896,0.21703803618328052,1.3542186737083104,0.07894736842105263,19,5363
trial_0015,B2,4.124064958766845,0.6507544695146541,27.308803953567427,3589.069223023501,0.55406504992237,0.2118176920637205,1.368155630633641,0.05263157894736842,19,5357
trial_0015,B3,4.211506795674711,0.6630872615052816,31.639733339492594,4485.653362279416,0.5536707018845269,0.21205513449138244,1.3686028891094002,0.05263157894736842,19,5357
trial_0015,H_star,4.478196801377898,0.6991197005731408,44.710793243720126,6937.353730871394,0.5648603217083302,0.21204023152354393,1.3663444198432158,0.07894736842105263,19,5358
trial_0015,HumanGT,4.1029716519737764,0.6665421900113826,30.37182569373947,3893.8149584190182,0.6149419613883317,0.21117412784400896,1.3642168079092478,0.07894736842105263,19,5357
trial_0015,RobotSmooth,4.210528197254764,0.6176076529029131,28.800112665760313,4298.769036608688,0.5249858752625489,0.21676433352252703,1.358549717527495,0.02631578947368421,19,5215
trial_0015,StrongLocal,4.1848785589426445,0.6646676866222919,31.546605356090716,4309.030197246588,0.5639510877935748,0.21232485291299494,1.367928682403304,0.07894736842105263,19,5358
trial_0017,B0,4.547689635126668,0.8528093269980541,27.407223949380228,3422.531662687947,0.32207657706318865,0.21127250263118394,1.3128676266865356,0.03333333333333333,15,3738
trial_0017,B1,4.611038335338023,0.8588293496398485,28.947449441045592,3261.967185731067,0.336044986507099,0.21268353348652833,1.3034445994461834,0.06666666666666667,15,3750
trial_0017,B2,4.317728006559672,0.8136497507050087,28.02457876796748,3548.6107383911276,0.35251975976244704,0.21066316981150796,1.32154880329281,0.06666666666666667,15,3732
trial_0017,B3,4.53568613203129,0.8559492111941426,35.14120232575093,4878.08434636559,0.34292889774051916,0.21023083236617668,1.3209387109080202,0.06666666666666667,15,3732
trial_0017,H_star,4.471876652871887,0.8341928550034754,36.54351951691783,5009.603907780384,0.3549424371750474,0.21121086033411152,1.3189531202644413,0.06666666666666667,15,3733
trial_0017,HumanGT,4.367541339130921,0.8481524184714145,32.21689166297321,3869.109975428772,0.36095979786682825,0.21192487007749297,1.3166481654192657,0.06666666666666667,15,3728
trial_0017,RobotSmooth,4.722769394445048,0.923869827745247,47.728487891502894,7041.652400907539,0.33120428339740954,0.21236814058804995,1.3108278400828708,0.0,15,3756
trial_0017,StrongLocal,4.499547886689824,0.8702227913331214,34.776775579419535,4630.296253695024,0.3481280851099409,0.21071467404026745,1.3199284080425262,0.06666666666666667,15,3734
trial_0019,B0,5.639040112005893,0.9991244184440515,25.02395841545327,3375.171175558809,0.37527000306785047,0.26308725571570457,1.2871797676092152,0.11538461538461539,26,6411
trial_0019,B1,5.763477096315897,1.0154485009002676,25.644710582319945,3467.804516232343,0.383152032575597,0.2638561148375112,1.2660492159377936,0.11538461538461539,26,6421
